,head,tail,year
675,910606,1397807,2014
676,1504461,1319229,2014
677,56873,1401688,2014
678,75252,748270,2014
679,1497275,1044082,2015
680,783325,916863,2015
681,1441634,850579,2014
682,1000180,1383729,2014
683,794323,1057758,2014
684,1483096,1324518,2015
685,1075531,1125914,2014
686,109177,887733,2014
687,6281,1130866,2014
688,310158,1093649,2014
689,1050441,1400810,2014
690,700733,921051,2014
691,100493,23666,2014
692,802481,23666,2014
693,732717,1465112,2015
694,799088,1510326,2014
695,1099941,878932,2014
696,1060009,1096142,2015
697,1006837,1038368,2014
698,714310,1415277,2014
699,1109357,1135971,2016
700,705432,1470795,2014
701,866121,820736,2015
702,38074,1484478,2014
703,37808,1471088,2014
704,1567892,891288,2014
705,12927,1049521,2014
706,816284,1280600,2014
707,50863,1535379,2014
708,63296,719164,2014
709,1507277,926164,2014
710,911160,913885,2015
711,1332349,1001604,2014
712,1578845,38074,2014
713,320193,1318605,2014
714,891014,813621,2014
715,711665,1003130,2014
716,1166691,1377013,2014
717,1567892,1333248,2014
718,827054,730000,2014
719,21344,909954,2015
720,1101302,1041577,2014
721,1401700,1493225,2014
722,916076,97472,2014
723,1368252,1528610,2014
724,1538263,1222915,2014
725,712771,1462694,2014
726,356171,353191,2014
727,1411494,813920,2014
728,933141,934538,2014
729,1091667,1377013,2014
730,707179,775345,2014
731,818686,1375200,2014
732,1062047,1405287,2014
733,310764,812301,2014
734,1393818,1334036,2014
735,1544229,30822,2014
736,1356090,1186519,2014
737,777676,1084817,2014
738,1287032,1000045,2013
739,1463258,1029023,2014
740,1404912,1386926,2014
741,1100962,1375200,2013
742,885590,1171298,2014
743,1105472,1003950,2014
744,1437107,1430602,2013
745,1404912,933136,2013
746,884217,920033,2014
747,1568832,1261436,2014
748,1501364,1405049,2014
749,1339048,1533454,2013
750,936402,946840,2014
751,1009356,1172480,2014
752,1436425,707604,2014
753,1493594,1224370,2013
754,1403085,921503,2013
755,29669,921500,2014
756,1396440,746210,2013
757,865911,1413440,2014
758,1046025,1058690,2014
759,1163370,1081860,2014
760,1070423,1481506,2013
761,921547,1129920,2014
762,310568,82628,2013
763,49196,16614,2014
764,1338613,1144945,2014
765,920033,884217,2013
766,1495584,1120817,2013
767,1568832,1001871,2014
768,892653,884130,2013
769,1356090,1319009,2013
770,96223,109177,2013
771,929452,883945,2013
772,310764,1411861,2013
773,1127703,1321268,2014
774,946673,1413440,2013
775,935036,1045150,2013
776,1069157,1068300,2014
777,1438533,1178711,2013
778,75677,1391390,2013
779,1077771,891106,2014
780,707179,1072847,2014
781,40528,1443062,2013
782,729237,1283709,2013
783,9892,868368,2013
784,3116,887497,2014
785,1404912,1162112,2013
786,1042729,778972,2014
787,743316,1050550,2013
788,1108109,792985,2014
789,912183,1142576,2013
790,912183,1356857,2013
791,858877,1168195,2013
792,1102112,1241199,2014
793,877422,69671,2013
794,831547,1140028,2013
795,1139812,1025536,2014
796,732717,1065049,2014
797,709804,1075656,2013
798,56873,85704,2014
799,318154,1012140,2013
800,1023844,914142,2013
801,37808,1052101,2014
802,39899,356080,2013
803,318154,1061983,2013
804,913341,804561,2013
805,883948,1036070,2014
806,1108524,1420850,2013
807,1507385,1057689,2013
808,1230245,1087934,2013
809,776901,1381639,2013
810,712534,1058438,2013
811,1349454,1298978,2013
812,70858,814585,2013
813,1071993,813779,2013
814,1260221,109471,2013
815,3197,65201,2013
816,97745,1073431,2014
817,1001082,101830,2013
818,912752,1034669,2013
819,1499912,1444363,2013
820,40545,60849,2013
821,813762,826083,2013
822,885590,1375247,2013
823,1048268,1295503,2013
824,1404912,916459,2013
825,1084961,1264707,2013
826,87565,35214,2013
827,764038,787075,2013
828,800240,12978,2013
829,1320760,1496623,2013
830,37808,928592,2013
831,1452857,914712,2013
832,1527166,1120193,2013
833,1316631,1270400,2013
834,777676,1130258,2013
835,935036,888953,2013
836,729986,1099305,2014
837,888228,1297067,2013
838,846901,1189396,2013
839,850693,1401923,2013
840,1166691,1141107,2013
841,1001082,1285551,2013
842,1131096,1096738,2013
843,723612,1131457,2013
844,921051,1293283,2013
845,356213,912145,2013
846,1174746,1368007,2013
847,107263,1483096,2012
848,1024126,1339455,2013
849,791770,1373980,2013
850,773840,1044590,2013
851,831259,891456,2013
852,818686,1228627,2012
853,1173489,1059786,2012
854,1137861,1138400,2013
855,1110803,1361103,2012
856,829224,1314592,2012
857,1043219,1467027,2013
858,96223,1084580,2013
859,79958,1011657,2013
860,1075531,1312928,2013
861,1001039,46080,2012
862,49071,1009379,2012
863,26324,854860,2012
864,78239,801351,2013
865,1357326,1108924,2012
866,1411494,1477032,2012
867,40545,921847,2012
868,927653,920527,2013
869,1122976,77597,2013
870,101830,1285551,2012
871,790359,796317,2013
872,101830,1283699,2012
873,66740,18937,2012
874,1206264,748015,2013
875,1002517,1080667,2012
876,313616,319240,2012
877,354869,351077,2013
878,1253317,1415022,2013
879,72971,1393612,2012
880,885590,859368,2012
881,6201,701345,2013
882,1363829,1267201,2013
883,36270,921847,2015
884,51143,1114714,2012
885,766704,1011064,2013
886,30419,1367396,2013
887,1122304,1054833,2013
888,1212545,1406251,2012
889,816956,1065754,2012
890,1166388,803014,2013
891,1488813,1350072,2013
892,1021860,84290,2013
893,764038,860519,2012
894,354950,844789,2012
895,732717,1374993,2013
896,1027884,914024,2013
897,320193,1138830,2012
898,1208208,1040570,2013
899,1012620,887637,2012
900,1013871,1126294,2012
901,1347613,1142380,2013
902,203596,769207,2012
903,1137789,1355128,2012
904,1156039,1064863,2012
905,826083,1088033,2012
906,14272,881464,2012
907,1017815,49930,2012
908,1105472,752431,2012
909,791915,849502,2012
910,1049521,820097,2012
911,1406587,277924,2012
912,920148,739944,2012
913,732712,1410240,2012
914,1108134,1401573,2012
915,1405049,1338248,2012
916,36146,783739,2013
917,1094285,943580,2012
918,29669,1080224,2012
919,1507277,1051871,2012
920,886158,798955,2012
921,1102112,1370291,2013
922,1040570,1208208,2012
923,1476264,1181001,2012
924,1498301,19353,2012
925,827054,93384,2012
926,1002638,894738,2012
927,776901,1076394,2012
928,859737,820237,2012
929,1282648,41023,2012
930,1363851,1090403,2012
931,1226308,1016470,2012
932,313616,790818,2012
933,831547,1097264,2012
934,1101169,1104252,2012
935,1506744,216324,2012
936,1389072,1024520,2012
937,1110647,1157780,2012
938,1401700,1294206,2012
939,1368365,1341470,2012
940,1094831,216039,2012
941,93859,1067294,2012
942,709804,14637,2012
943,777676,1134203,2012
944,1304421,943117,2012
945,915389,1043382,2012
946,1005817,775662,2012
947,1280058,1407450,2012
948,1262823,805264,2012
949,14272,1274913,2012
950,740260,1332896,2012
951,880460,802356,2012
952,824410,1098813,2012
953,885590,930553,2011
954,1067701,1389305,2012
955,707549,836106,2012
956,10456,780127,2012
957,916076,103973,2011
958,1166126,1091801,2011
959,883241,1065034,2012
960,813762,22444,2011
961,1349976,1373485,2011
962,775368,862510,2012
963,40533,1032863,2011
964,808450,775158,2011
965,829323,1094808,2012
966,1506307,1066107,2012
967,886835,1340041,2012
968,101829,42542,2012
969,1452857,846615,2011
970,1272550,1444177,2012
971,865941,883945,2011
972,31791,1014672,2011
973,1086909,1042291,2011
974,896159,1453820,2011
975,1067983,70858,2011
976,1411494,1011290,2011
977,353230,1388195,2011
978,1326807,1310313,2012
979,1288776,1495569,2012
980,826773,732412,2011
981,1282266,1372041,2011
982,320193,890491,2011
983,935036,1063254,2012
984,16058,313353,2011
985,885721,1170650,2012
986,792977,1097264,2011
987,31462,1298341,2011
988,813762,21076,2011
989,1393818,831967,2011
990,1021860,790730,2011
991,107263,203248,2011
992,1473061,1362705,2011
993,700863,740942,2012
994,61442,1437106,2011
995,934448,1275791,2011
996,732412,1086745,2011
997,37808,820907,2012
998,773840,32198,2011
999,944765,885317,2011
1000,51434,731939,2012
1001,4127,1104042,2012
1002,1141107,1019671,2011
1003,1069258,718130,2011
1004,4904,65984,2011
1005,1411494,793044,2011
1006,23217,1029506,2011
1007,929994,929994,2011
1008,818686,873364,2011
1009,1109357,1004440,2012
1010,1359111,1359111,2011
1011,714310,723458,2012
1012,764811,810689,2011
1013,18926,1058444,2011
1014,874761,787250,2011
1015,895126,1328650,2011
1016,849869,1478085,2011
1017,310568,1003640,2011
1018,30305,57139,2011
1019,1507277,832847,2011
1020,1436425,1303531,2011
1021,1081078,92769,2011
1022,316709,1299688,2011
1023,1265131,878520,2011
1024,829224,917968,2011
1025,1067983,60751,2011
1026,56047,1178575,2011
1027,47217,1085280,2011
1028,53669,917126,2011
1029,740260,780053,2011
1030,729580,96763,2011
1031,48039,110430,2011
1032,6314,1003640,2011
1033,1060009,812191,2011
1034,1319947,874444,2011
1035,313616,840467,2011
1036,1432150,1118941,2011
1037,1377013,1084750,2011
1038,1045609,899881,2011
1039,1378946,1410703,2011
1040,1323653,741556,2011
1041,93384,1069353,2011
1042,30371,1094093,2012
1043,1054303,804157,2011
1044,64803,709878,2011
1045,1335190,746834,2011
1046,1108134,1332199,2011
1047,1424454,916235,2011
1048,750577,106926,2011
1049,1047122,741696,2011
1050,1058623,1174527,2011
1051,927971,62741,2011
1052,713676,921768,2010
1053,813762,879215,2010
1054,93556,1315320,2011
1055,1013272,1401434,2011
1056,826083,1253955,2011
1057,97745,708850,2011
1058,1128361,1174820,2011
1059,1004155,72020,2011
1060,916863,72020,2010
1061,1352341,357020,2010
1062,1018963,814250,2011
1063,18230,740761,2011
1064,1124610,1373671,2010
1065,93410,1279228,2011
1066,1088033,735993,2011
1067,21175,1044566,2011
1068,51143,1262039,2010
1069,790051,849240,2010
1070,777676,1124610,2010
1071,1759546,8868,2010
1072,78003,1047699,2011
1073,14272,872912,2010
1074,789019,796343,2010
1075,1069258,1099918,2010
1076,84290,879884,2011
1077,310568,907687,2010
1078,1102541,1041954,2010
1079,1312073,1045769,2011
1080,313616,54991,2010
1081,92380,948846,2011
1082,1388195,1330487,2010
1083,1162556,1017673,2010
1084,1361579,1292470,2010
1085,1144945,1366292,2011
1086,831259,64279,2010
1087,7536,718074,2011
1088,857737,921691,2010
1089,1393612,893955,2010
1090,1406666,1108185,2011
1091,47217,1368582,2010
1092,1045309,749290,2010
1093,1069157,1375083,2010
1094,1061219,1324592,2010
1095,14272,1129425,2010
1096,1114714,1105360,2010
1097,814549,863650,2011
1098,66740,1289434,2010
1099,47217,1408501,2010
1100,1393818,895648,2010
1101,1035267,1178104,2010
1102,64670,874734,2010
1103,109177,1487730,2011
1104,354908,1334303,2010
1105,51143,1138804,2010
1106,1367644,1298521,2010
1107,37808,730030,2011
1108,70866,1096857,2010
1109,722572,722572,2010
1110,4447,1120916,2010
1111,1378946,1143848,2010
1112,1378946,747345,2010
1113,200406,1028318,2010
1114,816284,1141399,2010
1115,12927,26537,2010
1116,1085280,934868,2010
1117,1029506,849667,2010
1118,885590,930184,2010
1119,1385187,704328,2010
1120,805022,1359055,2010
1121,883241,1050776,2010
1122,1124804,1034088,2010
1123,18396,700841,2010
1124,916235,1342960,2010
1125,817366,1331931,2010
1126,1393818,96289,2010
1127,1096142,1129623,2010
1128,352915,829608,2010
1129,856982,919015,2010
1130,23197,1279176,2010
1131,9892,1097136,2010
1132,100517,319687,2010
1133,723612,1049108,2010
1134,64670,824068,2010
1135,47217,1100389,2010
1136,720672,1340354,2010
1137,1364479,1049108,2010
1138,18926,1037949,2011
1139,1403161,934280,2010
1140,906163,38570,2010
1141,800457,874482,2011
1142,923796,1016152,2010
1143,777676,1050180,2010
1144,45012,833845,2010
1145,1002388,1095330,2010
1146,1349436,1123871,2010
1147,8947,55805,2010
1148,310568,13606,2010
1149,8858,900708,2010
1150,764478,96289,2010
1151,1096325,1171529,2010
1152,1013857,1042134,2010
1153,1140215,1083522,2010
1154,1288776,1002517,2010
1155,884629,821995,2010
1156,1408198,1295172,2010
1157,29669,13610,2010
1158,1293413,1137046,2010
1159,944765,1028584,2010
1160,87347,721083,2010
1161,935419,1172852,2010
1162,1031296,3673,2011
1163,2969,804212,2010
1164,827054,855906,2010
1165,313143,1009463,2010
1166,820608,1174228,2010
1167,1287032,3906,2010
1168,1417398,20,2010
1169,820318,730716,2010
1170,813762,1344596,2010
1171,813762,33073,2010
1172,740942,744126,2010
1173,25445,706864,2010
1174,93859,1271245,2009
1175,818686,949858,2009
1176,1042134,1089907,2009
1177,1097864,800460,2010
1178,34088,868809,2010
1179,1276591,1239819,2009
1180,912263,1418255,2010
1181,887247,920465,2009
1182,87565,353567,2010
1183,909954,947661,2010
1184,1378946,854711,2010
1185,6951,934550,2009
1186,47217,738076,2010
1187,20212,814055,2010
1188,1097718,1136711,2009
1189,802681,856751,2010
1190,93556,12355,2010
1191,917968,947661,2009
1192,945764,1125057,2010
1193,317788,1283843,2009
1194,886163,1053221,2010
1195,1101239,1371011,2010
1196,101830,1108727,2009
1197,1288776,1086222,2009
1198,1358356,1073475,2009
1199,318154,722104,2009
1200,908259,1036968,2009
1201,858877,1391672,2009
1202,55785,857728,2009
1203,32604,1109808,2009
1204,1010612,1013149,2010
1205,108772,2135,2010
1206,1105705,865570,2009
1207,826083,894253,2009
1208,796343,1357525,2009
1209,1140486,1120105,2009
1210,808362,864328,2010
1211,1001039,933730,2009
1212,886163,849043,2009
1213,313616,1097149,2009
1214,779152,1069469,2009
1215,1159154,1351548,2009
1216,93859,930686,2010
1217,794170,357294,2009
1218,1288776,1045280,2010
1219,1287032,1321560,2009
1220,1393718,716457,2009
1221,1385187,1398090,2009
1222,51143,869570,2009
1223,101830,1396546,2009
1224,1051741,702902,2010
1225,1090872,1079028,2010
1226,1800,1077183,2009
1227,733590,949961,2009
1228,14272,874255,2009
1229,913760,1297846,2009
1230,1023024,865231,2009
1231,1228454,854071,2010
1232,36047,1210677,2009
1233,717724,1085482,2009
1234,1041858,1001868,2009
1235,1326583,1009575,2009
1236,1410703,742275,2009
1237,944809,850261,2009
1238,1055355,719722,2009
1239,50863,833829,2009
1240,941548,1057693,2009
1241,1124610,1391984,2009
1242,944765,1268904,2009
1243,744218,1030653,2009
1244,1004702,1172353,2009
1245,1124610,912890,2009
1246,200406,1335102,2009
1247,1002047,1391984,2009
1248,1120295,1063085,2009
1249,1282266,1011737,2009
1250,1288776,71691,2009
1251,701811,1041418,2009
1252,920321,69680,2009
1253,1002638,1042185,2009
1254,822418,1268904,2009
1255,1061219,857644,2009
1256,1279228,1368802,2009
1257,1105705,1022080,2009
1258,1054374,350917,2009
1259,19745,37643,2009
1260,77476,1076405,2010
1261,77476,1084230,2010
1262,777676,709519,2010
1263,880562,947427,2009
1264,1043219,1409493,2009
1265,1335795,1023844,2009
1266,822416,18532,2009
1267,1047170,1373525,2009
1268,1113784,1300128,2009
1269,1316625,802301,2009
1270,29834,1288382,2009
1271,713425,1043915,2009
1272,1344596,923120,2009
1273,882095,921506,2009
1274,200406,310158,2009
1275,64978,310158,2009
1276,1126975,1246263,2009
1277,875045,1008848,2009
1278,1028584,1121439,2009
1279,753568,1065246,2009
1280,350907,1389072,2009
1281,944868,908937,2009
1282,40730,1072342,2009
1283,1335258,1006637,2010
1284,353020,907072,2009
1285,1110647,1056794,2009
1286,732485,1124140,2009
1287,320187,805305,2009
1288,78003,5187,2009
1289,1324404,722079,2010
1290,1800,1168335,2009
1291,1113481,1428522,2009
1292,1076481,1124140,2009
1293,1048477,920465,2009
1294,887919,356809,2009
1295,1226616,932903,2009
1296,36270,818969,2009
1297,1326807,1330039,2009
1298,1054303,1466538,2008
1299,1313918,927829,2009
1300,813762,1419581,2008
1301,895421,895648,2008
1302,1050776,1041418,2008
1303,200406,64892,2009
1304,353944,912241,2008
1305,1069258,1057257,2008
1306,200406,1349426,2008
1307,864839,319458,2008
1308,1001279,1335294,2008
1309,59478,1082554,2008
1310,1087216,1017440,2009
1311,1085706,834285,2008
1312,776901,1302176,2009
1313,732717,879573,2009
1314,716646,1162192,2009
1315,18926,1350031,2009
1316,713676,69970,2008
1317,1109357,1013871,2008
1318,726514,730716,2008
1319,26172,52617,2008
1320,1099219,874766,2008
1321,59478,765258,2008
1322,828750,1051114,2008
1323,1143155,1156953,2008
1324,886163,1273013,2008
1325,1067983,886982,2008
1326,814549,768892,2008
1327,890801,1001916,2008
1328,70858,1060021,2008
1329,764478,1122787,2008
1330,70858,65100,2009
1331,104207,764762,2008
1332,1113169,1077428,2008
1333,1002638,931784,2008
1334,97210,1290096,2008
1335,1047699,730469,2008
1336,103730,316793,2008
1337,1065837,1373980,2008
1338,1057352,1038222,2008
1339,769520,916545,2009
1340,1006892,1009304,2008
1341,1085621,1085621,2008
1342,4962,1066026,2008
1343,896985,896985,2008
1344,1032208,1051286,2008
1345,1009626,1090071,2008
1346,818686,10081,2008
1347,1097864,899636,2008
1348,1062047,764244,2008
1349,946840,1144062,2008
1350,823768,1060391,2008
1351,1305014,46989,2008
1352,1076930,873603,2008
1353,318306,743884,2009
1354,29915,84792,2009
1355,944739,1107194,2008
1356,59478,1125603,2008
1357,89089,878522,2008
1358,1060391,848865,2008
1359,819913,1297568,2008
1360,357020,893162,2008
1361,1393818,882289,2008
1362,1085280,895095,2008
1363,1347218,1092914,2008
1364,1318568,861050,2008
1365,278130,798955,2008
1366,799698,1337223,2008
1367,859737,1120438,2008
1368,1140536,814898,2008
1369,1288776,1108524,2008
1370,721083,1051034,2008
1371,1280058,1117119,2008
1372,14272,1110206,2008
1373,890491,940510,2008
1374,1013871,916457,2008
1375,702902,1070543,2008
1376,913293,1337675,2008
1377,1094739,1219169,2008
1378,817473,817473,2008
1379,813828,1015577,2008
1380,47217,1007456,2008
1381,23197,718573,2008
1382,934448,919794,2008
1383,1068912,16614,2008
1384,769397,1103234,2008
1385,904080,1304069,2008
1386,1142701,1283157,2008
1387,793733,1144331,2008
1388,30697,105668,2008
1389,64670,1350620,2008
1390,320186,1109189,2008
1391,1084580,96223,2008
1392,1095600,1011344,2008
1393,929008,1042351,2008
1394,885725,1125294,2008
1395,27904,1058033,2008
1396,203077,1012394,2008
1397,831967,849448,2008
1398,1288776,1324424,2008
1399,1013462,849433,2008
1400,818686,821616,2008
1401,49826,796577,2008
1402,1018332,1089443,2008
1403,883241,1027362,2008
1404,714310,773845,2008
1405,835729,1175685,2008
1406,19617,777001,2008
1407,1124610,352789,2008
1408,913885,105006,2008
1409,945699,319450,2008
1410,101829,28823,2008
1411,1073349,1096689,2008
1412,729580,1042825,2008
1413,1069258,96057,2008
1414,78003,887023,2008
1415,949156,1273397,2008
1416,104889,1066134,2008
1417,78003,902622,2008
1418,1403256,795665,2008
1419,74260,877355,2008
1420,898173,1051848,2008
1421,1070412,1335793,2008
1422,1145460,1007228,2008
1423,1156375,1105018,2008
1424,3982,1328650,2008
1425,51143,2488,2008
1426,101984,319450,2008
1427,1129623,787030,2008
1428,97216,926763,2008
1429,1379041,1009667,2008
1430,1308161,1020416,2008
1431,1094810,916396,2008
1432,1124610,1016831,2008
1433,51143,935036,2007
1434,1021860,1097313,2008
1435,1160497,836102,2008
1436,1323648,1109848,2008
1437,1097864,1161963,2008
1438,1029199,1273931,2007
1439,930686,860518,2008
1440,97210,1167896,2008
1441,815094,1024520,2007
1442,912093,1052489,2008
1443,1027443,923282,2008
1444,5133,791050,2008
1445,918946,927355,2007
1446,1353970,276889,2008
1447,1310067,863821,2007
1448,816284,1203866,2008
1449,78003,1319197,2007
1450,1067983,1170010,2007
1451,1100441,816949,2008
1452,55067,859735,2007
1453,74260,876437,2007
1454,1023844,890285,2008
1455,1009575,1326583,2007
1456,64978,1260990,2007
1457,75234,1370946,2007
1458,23082,1049758,2008
1459,1070985,1056794,2007
1460,1357525,837991,2008
1461,313616,96879,2007
1462,777676,1031798,2008
1463,217346,101271,2007
1464,31791,1114529,2007
1465,1022899,1000297,2008
1466,716457,1058690,2007
1467,1141107,350621,2007
1468,1372041,919943,2008
1469,1058033,948845,2007
1470,1073146,73773,2007
1471,49071,1299210,2007
1472,700733,1236964,2008
1473,1323648,1140249,2008
1474,746782,932112,2007
1475,1166036,1019756,2008
1476,1145460,884847,2007
1477,1170650,878748,2007
1478,70858,25191,2007
1479,1173431,1015780,2007
1480,700841,23111,2007
1481,35527,717306,2008
1482,940944,883976,2007
1483,97854,57497,2007
1484,911160,1103777,2007
1485,924642,771252,2008
1486,929887,1087277,2007
1487,31462,929299,2007
1488,1145460,1127393,2007
1489,798354,949341,2007
1490,64670,1123313,2007
1491,91576,707805,2008
1492,1067983,1103982,2007
1493,96943,886046,2007
1494,47217,894743,2007
1495,47217,1100813,2007
1496,1318310,1217688,2007
1497,203596,949953,2007
1498,713676,811671,2008
1499,1065696,1012393,2007
1500,891456,230463,2007
1501,49754,853665,2007
1502,1096752,842699,2007
1503,105016,711307,2007
1504,1393818,47580,2007
1505,936528,1098337,2008
1506,1304421,764765,2007
1507,104207,884064,2007
1508,732717,1035985,2007
1509,879437,801338,2007
1510,106040,813347,2007
1511,906111,200138,2008
1512,1136893,1109190,2007
1513,1095291,854460,2007
1514,1041858,1003111,2007
1515,859163,766430,2007
1516,934280,1017172,2007
1517,886137,18498,2007
1518,1364100,1051431,2007
1519,1105705,832428,2007
1520,713676,787849,2007
1521,1145460,887227,2007
1522,732485,1028205,2007
1523,1282266,23259,2007
1524,102379,906469,2007
1525,1168335,10427,2007
1526,1060232,94887,2007
1527,783739,762128,2007
1528,74303,830141,2007
1529,859737,849778,2007
1530,789019,1071806,2007
1531,1241199,1170605,2007
1532,777676,1088653,2007
1533,32604,1111721,2007
1534,910073,1263766,2007
1535,721371,1123361,2007
1536,1380393,740796,2007
1537,753568,1007800,2007
1538,1324592,857644,2007
1539,72971,775473,2007
1540,789019,1011006,2007
1541,700863,714710,2007
1542,1308161,29924,2007
1543,69970,854662,2007
1544,1114483,833140,2007
1545,931784,908605,2007
1546,23082,1028461,2007
1547,895655,6720,2007
1548,1022225,1122668,2007
1549,68505,1052303,2007
1550,850209,18498,2007
1551,934448,1014733,2007
1552,101830,1272830,2007
1553,811808,1082735,2007
1554,819689,1300128,2007
1555,891106,353191,2007
1556,1090872,1108674,2007
1557,1067983,934612,2007
1558,1145460,834306,2007
1559,1102414,884380,2007
1560,108772,1050167,2007
1561,1163302,791348,2007
1562,67625,67618,2007
1563,840467,834306,2007
1564,96763,729580,2007
1565,8818,75681,2007
1566,203077,913443,2007
1567,1330849,1210697,2007
1568,1108109,1074771,2007
1569,1050915,1276827,2007
1570,858877,1109935,2007
1571,78814,916238,2007
1572,731766,754009,2008
1573,777676,1001113,2007
1574,43300,95585,2007
1575,714530,742679,2007
1576,1047202,1083712,2007
1577,865436,909990,2007
1578,936402,1288379,2007
1579,1374535,1000227,2007
1580,103973,37651,2007
1581,315189,745394,2007
1582,908937,1091530,2008
1583,33185,917524,2007
1584,949341,1041403,2007
1585,849778,902482,2007
1586,1166388,1097338,2007
1587,1143068,66960,2008
1588,927066,1333170,2007
1589,1010552,894268,2007
1590,876437,890926,2007
1591,715072,1136303,2007
1592,1057234,909413,2007
1593,93751,949589,2007
1594,813762,842162,2007
1595,4164,4164,2007
1596,849399,1139650,2007
1597,1308161,1076700,2007
1598,777676,928753,2007
1599,729986,854399,2007
1600,814549,1033864,2007
1601,1105018,1303433,2007
1602,891293,812796,2007
1603,894738,1081661,2007
1604,200138,913072,2007
1605,1136174,22872,2007
1606,1077771,1102595,2007
1607,908652,1137047,2007
1608,67887,827056,2007
1609,72971,1279410,2007
1610,31235,108772,2007
1611,38079,1015293,2007
1612,1168335,1163848,2007
1613,1053676,1016613,2007
1614,949341,1057709,2007
1615,920321,745274,2007
1616,1047335,1047334,2007
1617,68505,878436,2007
1618,945235,45599,2007
1619,829608,935007,2007
1620,916230,1200022,2007
1621,49196,855876,2007
1622,885721,893670,2006
1623,896878,721773,2006
1624,948846,948845,2006
1625,921738,858339,2006
1626,854222,1305409,2007
1627,864749,1109537,2007
1628,806085,1289308,2006
1629,703360,1129446,2007
1630,1282858,1038280,2006
1631,813762,930548,2006
1632,70858,40730,2006
1633,896878,1037275,2007
1634,808326,811271,2006
1635,1275187,1056421,2007
1636,89261,818074,2006
1637,1323639,1138812,2007
1638,51143,1166388,2006
1639,831259,78066,2007
1640,200406,1108271,2007
1641,701345,27904,2006
1642,1089063,1327098,2007
1643,68505,1012482,2007
1644,1110803,913275,2007
1645,318771,1099414,2007
1646,1133421,355199,2007
1647,927653,878556,2007
1648,1045810,1297633,2007
1649,1800,1018952,2006
1650,834208,1097503,2007
1651,910073,920945,2007
1652,777676,867347,2006
1653,776867,776867,2006
1654,64978,892112,2006
1655,1138118,1022438,2006
1656,777676,916704,2006
1657,794323,1060490,2007
1658,863436,924829,2007
1659,59478,874294,2007
1660,775158,216275,2006
1661,1056386,789851,2007
1662,747435,1092083,2006
1663,713676,64908,2007
1664,1051470,1051470,2007
1665,50863,1045810,2006
1666,890801,1164552,2006
1667,882095,1101052,2006
1668,886835,839871,2006
1669,1294649,1160084,2006
1670,37996,40730,2006
1671,91388,1143967,2007
1672,1061580,820067,2006
1673,68505,278352,2007
1674,20520,310433,2007
1675,310158,14272,2006
1676,879933,745026,2006
1677,49826,1107050,2006
1678,202058,812703,2007
1679,1073431,864890,2006
1680,924646,1069562,2006
1681,23194,1304069,2006
1682,1339048,856465,2007
1683,890640,1114084,2006
1684,51143,1053148,2006
1685,802481,1292215,2007
1686,1110783,902277,2007
1687,1271193,1000230,2006
1688,1103777,875359,2006
1689,10795,1041426,2006
1690,51143,706015,2006
1691,828747,872855,2007
1692,895421,1279493,2006
1693,1035884,317093,2006
1694,1009626,731502,2007
1695,933036,893046,2006
1696,879437,911673,2006
1697,51143,920354,2006
1698,1040971,930548,2007
1699,752789,872544,2006
1700,1311926,760436,2006
1701,69970,1028336,2007
1702,933141,1051859,2007
1703,47217,867058,2006
1704,789933,217084,2006
1705,1068851,1169238,2007
1706,701719,1091539,2007
1707,69970,1029407,2006
1708,879101,1040454,2006
1709,67716,18072,2007
1710,790526,1031329,2006
1711,883293,801622,2007
1712,39263,353203,2006
1713,1019650,891523,2006
1714,67472,108215,2006
1715,1124610,932064,2006
1716,1304366,1295334,2006
1717,49826,949859,2006
1718,1038223,904350,2006
1719,1070423,1168397,2006
1720,832988,815065,2006
1721,1070698,1070698,2006
1722,891106,1035513,2006
1723,1114200,851737,2006
1724,36104,1035770,2006
1725,61478,317093,2006
1726,1010775,1013871,2006
1727,1174735,1282552,2006
1728,1281761,3133,2006
1729,750199,904080,2006
1730,887150,923149,2006
1731,1102112,1089503,2006
1732,1332349,787784,2006
1733,97745,880430,2006
1734,6951,1040660,2006
1735,709283,770403,2006
1736,1139812,717837,2006
1737,12927,701650,2006
1738,1065298,752195,2006
1739,712537,892158,2006
1740,801337,807524,2006
1741,66479,767673,2006
1742,796317,1182555,2006
1743,1006892,908440,2006
1744,933136,1184818,2006
1745,1065088,789019,2006
1746,1059324,832820,2006
1747,101830,1108487,2006
1748,844161,1005181,2006
1749,1067983,85812,2006
1750,1304994,755933,2007
1751,777676,1080306,2006
1752,313616,1121302,2006
1753,89089,927914,2006
1754,877355,1017158,2006
1755,895421,755199,2006
1756,880430,1030339,2006
1757,1102541,1043769,2006
1758,884629,1123337,2006
1759,1056087,205520,2006
1760,927628,352510,2006
1761,723125,1058289,2006
1762,732717,732713,2006
1763,845752,94328,2006
1764,319201,884498,2006
1765,924901,893577,2006
1766,1039684,909281,2006
1767,1279410,1275873,2006
1768,1014672,1116449,2006
1769,921847,1064236,2006
1770,853273,894572,2006
1771,1077771,1072688,2006
1772,912263,910721,2006
1773,1024657,1046832,2006
1774,32604,23071,2006
1775,1024657,924505,2006
1776,866829,874992,2006
1777,861884,54003,2006
1778,1018332,735780,2006
1779,354950,49029,2006
1780,47217,23082,2006
1781,51143,1036425,2006
1782,1137789,711039,2006
1783,89270,723639,2006
