,head,tail,year
2598,910267,946486,1996
2599,918946,913590,1996
2600,80424,872589,1997
2601,18532,278166,1997
2602,851697,320573,1996
2603,723527,880804,1996
2604,946673,946673,1998
2605,311094,311094,1997
2606,4962,896878,1996
2607,49196,732712,1997
2608,764180,77476,1996
2609,277948,277948,1996
2610,32621,872855,1996
2611,74208,74208,1996
2612,732717,944400,1996
2613,315852,839950,1996
2614,86115,317340,1996
2615,764960,878314,1996
2616,791519,800240,1996
2617,912593,912393,1996
2618,895417,912393,1996
2619,319256,896842,1996
2620,808918,1015577,1996
2621,917079,917079,1996
2622,103730,887730,1996
2623,948545,34497,1996
2624,7084,52827,1996
2625,918958,893741,1996
2626,1166126,27419,1996
2627,1023291,33015,1997
2628,54507,54476,1996
2629,777001,878560,1996
2630,46989,42872,1996
2631,841555,917225,1996
2632,217084,878280,1996
2633,752789,752789,1996
2634,916802,791450,1996
2635,63276,46080,1996
2636,310158,1002388,1996
2637,50863,832767,1995
2638,351569,92339,1996
2639,832767,50863,1995
2640,318380,866368,1995
2641,805914,805914,1996
2642,805020,721675,1995
2643,749038,927133,1995
2644,21344,911360,1995
2645,20286,911631,1995
2646,879181,873591,1995
2647,923877,810029,1995
2648,9466,79732,1995
2649,1800,886163,1995
2650,875159,947484,1995
2651,912844,915778,1996
2652,318771,875045,1995
2653,706539,874443,1995
2654,739708,922503,1995
2655,20520,889949,1995
2656,96223,913586,1995
2657,758004,853273,1995
2658,783325,72903,1995
2659,106374,813920,1995
2660,924174,882235,1995
2661,722079,879575,1995
2662,840467,877357,1995
2663,927133,749038,1995
2664,732485,904973,1995
2665,825692,882830,1995
2666,883237,883237,1995
2667,921590,22551,1995
2668,7084,831327,1995
2669,69422,69422,1995
2670,59558,1130310,1995
2671,703598,892160,1994
2672,764241,1405049,1995
2673,51143,758004,1994
2674,353184,353184,1994
2675,20520,741508,1994
2676,5272,100331,1994
2677,794323,29915,1995
2678,776867,913357,1994
2679,702165,277948,1994
2680,104918,741508,1994
2681,78003,879169,1994
2682,789019,885073,1994
2683,7084,868512,1994
2684,357301,717538,1994
2685,880771,707511,1994
2686,9626,50341,1994
2687,86115,736291,1994
2688,17313,850460,1994
2689,1260037,778808,1994
2690,313749,715273,1994
2691,318771,883975,1994
2692,352947,756502,1994
2693,895421,724606,1994
2694,926295,926295,1994
2695,1415277,1097882,1994
2696,722056,722056,1994
2697,50863,884144,1995
2698,355948,758743,1993
2699,62741,29332,1994
2700,27500,26285,1993
2701,1067983,200245,1993
2702,912365,805012,1993
2703,24741,936468,1993
2704,16058,22252,1993
2705,28866,866722,1993
2706,859014,859014,1993
2707,773136,773136,1993
2708,7084,75208,1993
2709,79282,79282,1993
2710,714310,318300,1993
2711,730469,857171,1992
2712,68505,845434,1992
2713,2186,725876,1992
2714,217084,822665,1992
2715,1067983,40533,1992
2716,22301,824169,1993
2717,711404,759718,1992
2718,65984,44570,1993
2719,943861,882154,1992
2720,7084,802481,1992
2721,65100,13239,1992
2722,92521,31978,1992
2723,47217,868267,1992
2724,720005,720672,1992
2725,785161,799231,1992
2726,874663,849636,1992
2727,865846,904896,1992
2728,66740,821536,1992
2729,713275,713275,1992
2730,1040441,812191,1991
2731,772197,815838,1991
2732,354647,718903,1991
2733,785819,98752,1991
2734,1067983,104889,1991
2735,51434,79716,1991
2736,764622,100122,1991
2737,814453,93556,1991
2738,817946,799515,1991
2739,850429,805326,1991
2740,1067983,1026214,1990
2741,107263,311471,1990
2742,98222,350403,1990
2743,37996,26172,1990
2744,814453,57515,1990
2745,49826,352541,1990
2746,711404,6260,1990
