cik,component,size
1130888,0,9837
874691,0,9837
1468910,2,2
888471,2,2
1509432,0,9837
1207074,0,9837
49728,0,9837
923118,0,9837
58361,0,9837
1084869,0,9837
1390804,0,9837
1394069,0,9837
1503636,0,9837
1290900,0,9837
1260221,0,9837
929545,0,9837
1290476,0,9837
816761,0,9837
863436,0,9837
727920,0,9837
825313,0,9837
1109448,0,9837
1262279,0,9837
1439095,0,9837
80424,0,9837
4962,0,9837
732712,0,9837
1064863,0,9837
1298675,0,9837
1300485,0,9837
97854,0,9837
949961,0,9837
733590,0,9837
1102238,0,9837
867038,0,9837
1144320,35,10
789860,35,10
1509692,0,9837
1046311,0,9837
1278027,0,9837
916365,0,9837
1031296,0,9837
65350,0,9837
73960,0,9837
77227,0,9837
53456,0,9837
352049,0,9837
20947,0,9837
1407703,0,9837
1395864,0,9837
1421182,0,9837
892537,0,9837
1393612,0,9837
1048286,0,9837
855612,0,9837
1528837,0,9837
1054579,0,9837
50957,0,9837
856984,0,9837
1061164,0,9837
1347178,0,9837
855654,0,9837
1285785,0,9837
55242,0,9837
1516386,0,9837
1454504,65,5
1352081,65,5
1405260,65,5
20171,0,9837
1156039,0,9837
1034760,70,3
1362718,70,3
866829,0,9837
314606,0,9837
1383571,0,9837
1090727,0,9837
1090425,0,9837
899045,0,9837
793547,0,9837
1141719,0,9837
1085392,0,9837
81100,0,9837
922360,0,9837
1012493,0,9837
922358,0,9837
922359,0,9837
34115,0,9837
919628,0,9837
1368993,0,9837
1274563,0,9837
1183186,0,9837
1490349,0,9837
1316625,0,9837
1053374,0,9837
941713,0,9837
921082,0,9837
751364,0,9837
1410240,0,9837
722077,0,9837
1473579,0,9837
1017491,0,9837
808064,0,9837
316793,0,9837
1224370,0,9837
6769,0,9837
727538,0,9837
1130464,0,9837
12400,0,9837
107140,0,9837
1067701,0,9837
1047166,0,9837
108772,0,9837
1094058,0,9837
1265572,0,9837
887637,0,9837
1487999,0,9837
1161728,0,9837
61339,0,9837
1065088,0,9837
896878,0,9837
1309141,0,9837
40704,0,9837
789019,0,9837
1332896,0,9837
1035443,0,9837
913077,0,9837
1019695,0,9837
109177,0,9837
1083243,0,9837
1495191,0,9837
1524471,0,9837
1060009,0,9837
722723,0,9837
795212,0,9837
74145,0,9837
1021635,0,9837
1213037,0,9837
1142380,0,9837
1347613,0,9837
772320,0,9837
1280058,0,9837
1473597,0,9837
883237,0,9837
876437,0,9837
1065049,0,9837
723125,0,9837
1054374,0,9837
105770,0,9837
901219,0,9837
1325879,0,9837
922864,0,9837
926660,0,9837
1421461,0,9837
351346,0,9837
29534,0,9837
865549,155,4
1093661,155,4
1305631,155,4
945841,0,9837
935036,0,9837
1379661,0,9837
1126975,0,9837
1333248,0,9837
1466301,0,9837
1375151,0,9837
811156,0,9837
201533,0,9837
903127,0,9837
812900,0,9837
1012271,0,9837
1047884,0,9837
787253,0,9837
92232,0,9837
1066107,0,9837
31986,0,9837
97142,0,9837
1410838,0,9837
200155,0,9837
890821,0,9837
34285,0,9837
1312073,0,9837
9389,0,9837
1034670,0,9837
1481506,0,9837
1070423,0,9837
353184,0,9837
317540,0,9837
811589,0,9837
815097,0,9837
1125259,0,9837
1513153,0,9837
946155,0,9837
928576,0,9837
1098296,0,9837
764811,0,9837
1115222,0,9837
54441,0,9837
708821,0,9837
1101239,0,9837
1304740,0,9837
1262039,0,9837
1038280,0,9837
741815,0,9837
872448,0,9837
1065034,0,9837
1058811,0,9837
1143513,206,4
1321741,206,4
1234006,206,4
1385280,0,9837
885975,0,9837
1283456,211,19
1283332,211,19
1283334,211,19
1283464,211,19
1283337,211,19
1283596,211,19
1283598,211,19
1286608,211,19
1283316,211,19
1283318,211,19
1282616,211,19
1283450,211,19
1283451,211,19
81362,0,9837
84748,0,9837
880446,0,9837
1039399,0,9837
1415277,0,9837
724606,0,9837
1269871,0,9837
1500341,0,9837
1487775,0,9837
1419984,233,2
1419985,233,2
41719,0,9837
795551,0,9837
66418,237,3
351231,237,3
928953,239,3
1490653,239,3
1175535,239,3
1354217,0,9837
1073431,0,9837
874016,0,9837
805305,0,9837
884940,0,9837
1012569,0,9837
1286613,0,9837
1043121,0,9837
1037540,0,9837
820313,0,9837
41133,0,9837
916076,0,9837
1301063,0,9837
1471458,0,9837
935703,0,9837
889930,0,9837
1165231,0,9837
728535,0,9837
1140761,0,9837
1138258,0,9837
1126294,0,9837
100548,0,9837
932628,0,9837
884614,0,9837
1302707,0,9837
1043533,0,9837
1026743,0,9837
1415332,269,7
1331757,269,7
888953,0,9837
827187,0,9837
1376912,0,9837
77877,0,9837
1224950,0,9837
1224951,0,9837
1326428,0,9837
1407805,0,9837
1287808,0,9837
855931,0,9837
1371473,0,9837
729156,0,9837
1396838,0,9837
8192,0,9837
1135971,0,9837
27879,0,9837
79732,0,9837
1336920,0,9837
1508171,0,9837
1418076,0,9837
1519751,0,9837
48287,0,9837
880059,0,9837
1049782,0,9837
828750,0,9837
897429,0,9837
1067294,0,9837
850141,0,9837
1022671,0,9837
1017673,0,9837
1162556,0,9837
1490983,0,9837
1068796,0,9837
1344413,0,9837
790528,0,9837
1481582,0,9837
74208,0,9837
1018254,0,9837
846931,0,9837
1018399,0,9837
64040,0,9837
1006045,0,9837
878526,0,9837
709804,0,9837
1452857,0,9837
106618,0,9837
27748,0,9837
1376227,0,9837
1405513,0,9837
1396877,0,9837
1396878,0,9837
1439567,0,9837
1472494,0,9837
1405528,0,9837
1327068,0,9837
924901,0,9837
1067063,0,9837
1070412,0,9837
812701,0,9837
719866,0,9837
737758,0,9837
801337,0,9837
1070985,0,9837
95029,0,9837
1372807,0,9837
764044,0,9837
68589,0,9837
751652,0,9837
1015780,0,9837
1141391,0,9837
909832,0,9837
746515,0,9837
823768,0,9837
1048911,0,9837
744825,0,9837
1326583,0,9837
1033905,0,9837
910638,0,9837
941138,0,9837
100122,0,9837
99250,0,9837
110019,0,9837
1324518,0,9837
23082,0,9837
315189,0,9837
9346,0,9837
1071992,0,9837
764402,0,9837
1013796,0,9837
1279363,0,9837
1142750,0,9837
1102266,0,9837
1010086,0,9837
1085280,0,9837
1029299,0,9837
929008,0,9837
1320461,0,9837
1493144,0,9837
1441849,0,9837
1270400,0,9837
1322791,0,9837
1481423,0,9837
1487685,0,9837
940510,0,9837
1286681,0,9837
936340,0,9837
740694,0,9837
66382,0,9837
839470,0,9837
1262751,0,9837
794170,0,9837
1378020,0,9837
1491925,0,9837
1496099,0,9837
1515173,0,9837
34408,0,9837
60876,0,9837
784199,0,9837
1335293,0,9837
1313918,0,9837
920760,0,9837
1011570,0,9837
1358651,0,9837
1426945,0,9837
1490281,0,9837
906107,0,9837
931182,0,9837
1045150,0,9837
1085770,0,9837
1066605,0,9837
849399,0,9837
919465,0,9837
13239,0,9837
1511648,0,9837
1512074,0,9837
1510030,0,9837
1476719,0,9837
1514418,0,9837
1499482,0,9837
1518749,0,9837
1097264,0,9837
1427925,0,9837
940944,0,9837
912263,0,9837
1529938,0,9837
1232524,0,9837
1140184,0,9837
1364652,0,9837
96289,0,9837
1410636,0,9837
883943,0,9837
1071255,0,9837
1316656,0,9837
1497822,0,9837
1489096,0,9837
1389170,0,9837
714256,427,2
830741,427,2
1043337,0,9837
817979,0,9837
1328655,0,9837
1135906,0,9837
1401923,0,9837
1338042,0,9837
815094,0,9837
1096385,0,9837
