cik,component,size
1468910,0,2
888471,0,2
1035748,2,11629
1324772,2,11629
58361,2,11629
1084869,2,11629
73309,2,11629
101829,2,11629
727920,2,11629
825313,2,11629
1109448,2,11629
80424,2,11629
4962,2,11629
882800,2,11629
913241,2,11629
1569187,2,11629
1603286,2,11629
1465740,2,11629
1046102,2,11629
949961,2,11629
733590,2,11629
1102238,2,11629
867038,2,11629
1562214,23,3
1527590,23,3
940944,2,11629
1278027,2,11629
916365,2,11629
800240,2,11629
59478,2,11629
1141391,2,11629
1395864,2,11629
1421182,2,11629
1113169,2,11629
892537,2,11629
1048286,2,11629
1362705,2,11629
1528837,2,11629
50104,2,11629
1200375,2,11629
1337619,2,11629
1487371,2,11629
917273,2,11629
1294924,2,11629
1469443,2,11629
929887,2,11629
1559998,46,3
835662,46,3
1597553,2,11629
1347178,2,11629
855654,2,11629
1533840,2,11629
1310914,2,11629
49728,2,11629
820738,2,11629
891024,2,11629
109563,2,11629
1513818,2,11629
1267813,2,11629
1262279,2,11629
1550695,2,11629
1089531,2,11629
1473334,2,11629
1609253,2,11629
1581990,2,11629
1070423,2,11629
1090425,2,11629
899045,2,11629
922360,2,11629
1012493,2,11629
922358,2,11629
922359,2,11629
1082754,2,11629
1067294,2,11629
1316625,2,11629
1053374,2,11629
941713,2,11629
921082,2,11629
751364,2,11629
1485469,2,11629
1589526,2,11629
1422105,2,11629
1301787,2,11629
1559865,2,11629
107140,2,11629
1067701,2,11629
1047166,2,11629
949039,2,11629
1336047,2,11629
1405041,2,11629
1624826,2,11629
1265572,2,11629
1506374,2,11629
1354730,93,22
1383082,93,22
1383084,93,22
1383149,93,22
1383054,93,22
1383151,93,22
1383055,93,22
1383057,93,22
1383058,93,22
1328237,93,22
1383062,93,22
1161728,2,11629
61339,2,11629
896878,2,11629
1620928,2,11629
1588238,2,11629
1283464,109,19
1283337,109,19
1035443,2,11629
1577134,2,11629
1595552,113,2
1599407,113,2
74145,2,11629
1021635,2,11629
1591763,2,11629
1213037,2,11629
1347613,2,11629
1280058,2,11629
1473597,2,11629
883237,2,11629
876437,2,11629
49826,2,11629
277135,2,11629
926617,2,11629
1169987,2,11629
1484504,2,11629
723125,2,11629
1169264,2,11629
1517228,2,11629
922864,2,11629
926660,2,11629
1421461,2,11629
726728,2,11629
915140,2,11629
910612,2,11629
1567925,138,2
1482974,138,2
1404804,2,11629
1363958,2,11629
1379661,2,11629
1126975,2,11629
1339970,2,11629
1466301,2,11629
903127,2,11629
1012271,2,11629
1047884,2,11629
787253,2,11629
101778,2,11629
1379895,2,11629
1312073,2,11629
9389,2,11629
1034670,2,11629
27673,2,11629
315189,2,11629
1039065,2,11629
1571283,2,11629
1286964,2,11629
1181749,2,11629
105319,2,11629
1452575,2,11629
1609351,2,11629
815097,2,11629
1125259,2,11629
90144,2,11629
928576,2,11629
1081316,2,11629
75594,2,11629
71180,2,11629
1098296,2,11629
1051741,2,11629
1594617,2,11629
1566445,2,11629
2186,2,11629
946454,2,11629
1500123,2,11629
1442236,2,11629
1609319,2,11629
1101239,2,11629
1280263,2,11629
1262039,2,11629
872448,2,11629
1058811,2,11629
1495240,2,11629
1143513,2,11629
1321741,2,11629
1234006,2,11629
68270,2,11629
1495231,2,11629
1117480,2,11629
1011835,2,11629
1178253,2,11629
826675,2,11629
873860,2,11629
1491576,2,11629
1029142,2,11629
1031296,2,11629
1518587,2,11629
1519061,2,11629
1407703,2,11629
1597264,2,11629
1293971,2,11629
1485003,2,11629
706688,2,11629
36047,2,11629
1482512,2,11629
1496264,2,11629
81362,2,11629
84748,2,11629
97134,2,11629
11199,2,11629
1053706,2,11629
1527166,2,11629
1592016,2,11629
1649173,2,11629
915912,2,11629
1611547,2,11629
1575189,2,11629
891103,2,11629
1043121,2,11629
1037540,2,11629
1572552,2,11629
876343,2,11629
1311370,2,11629
1326141,2,11629
1301106,2,11629
1042046,2,11629
934612,2,11629
15511,2,11629
1274792,2,11629
109380,2,11629
1140859,2,11629
8868,2,11629
874501,2,11629
107833,2,11629
107815,2,11629
1169652,2,11629
1082526,2,11629
1404912,2,11629
1386926,2,11629
1590584,2,11629
1171486,2,11629
1415332,2,11629
1331757,2,11629
1376912,2,11629
1407805,2,11629
1326428,2,11629
77877,2,11629
1138118,2,11629
1180079,2,11629
1594337,2,11629
352998,2,11629
1419600,2,11629
1592706,2,11629
1487730,2,11629
1325955,2,11629
91142,2,11629
1466258,2,11629
1564708,2,11629
1575879,2,11629
858339,2,11629
1593548,2,11629
1635863,2,11629
1465264,2,11629
1573097,2,11629
1010552,2,11629
29332,2,11629
1115055,2,11629
8192,2,11629
1135971,2,11629
27879,2,11629
353394,2,11629
79732,2,11629
1336920,2,11629
1474464,2,11629
1615892,2,11629
1595527,2,11629
1519751,2,11629
1591698,2,11629
48287,2,11629
77449,2,11629
897429,2,11629
1456016,2,11629
1600626,2,11629
850141,2,11629
1022671,2,11629
1017673,2,11629
1162556,2,11629
1437402,2,11629
1344413,2,11629
9984,2,11629
820318,2,11629
40704,2,11629
64040,2,11629
927720,2,11629
352915,2,11629
878526,2,11629
1590895,2,11629
1452857,2,11629
106618,2,11629
709804,2,11629
1560672,2,11629
1411342,2,11629
1405513,2,11629
1396877,2,11629
1396878,2,11629
1439567,2,11629
1472494,2,11629
1405528,2,11629
1327068,2,11629
924901,2,11629
1067063,2,11629
1557746,2,11629
1416792,2,11629
1114220,2,11629
1517022,2,11629
719866,2,11629
1638290,2,11629
737758,2,11629
801337,2,11629
1070985,2,11629
1514242,2,11629
1372807,2,11629
764044,2,11629
68589,2,11629
751652,2,11629
1519401,2,11629
872912,2,11629
1338095,2,11629
60667,2,11629
1641991,2,11629
823768,2,11629
1048911,2,11629
1461219,335,2
1461237,335,2
72971,2,11629
4447,2,11629
744825,2,11629
1326583,2,11629
1033905,2,11629
910638,2,11629
9346,2,11629
1360604,2,11629
1479750,2,11629
1279363,2,11629
1142750,2,11629
1318641,2,11629
1102266,2,11629
1010086,2,11629
1649709,2,11629
1313918,2,11629
1104506,2,11629
1472343,2,11629
1624322,2,11629
928421,2,11629
277375,2,11629
713095,2,11629
28385,2,11629
936340,2,11629
66382,2,11629
1512762,2,11629
1613859,2,11629
1615418,2,11629
794170,2,11629
1335293,2,11629
920760,2,11629
1011570,2,11629
1426945,2,11629
1490281,2,11629
906107,2,11629
931182,2,11629
1066605,2,11629
849399,2,11629
1338042,2,11629
1472091,2,11629
1478069,2,11629
1604738,2,11629
1574085,2,11629
1399529,2,11629
1427925,2,11629
1178104,2,11629
892160,2,11629
1051514,2,11629
1514226,2,11629
933590,2,11629
759944,2,11629
883241,2,11629
6951,2,11629
795266,2,11629
92380,2,11629
1489096,2,11629
844965,2,11629
1281774,2,11629
1465872,2,11629
1404624,2,11629
1361394,2,11629
1515156,2,11629
1549756,2,11629
778438,2,11629
1389170,2,11629
1043337,2,11629
1328655,2,11629
1140536,2,11629
1546853,2,11629
815094,2,11629
783325,2,11629
829114,2,11629
801348,2,11629
1096385,2,11629
712534,2,11629
1051512,2,11629
821130,2,11629
830656,2,11629
1353487,2,11629
95552,2,11629
1287213,2,11629
8177,2,11629
43196,2,11629
890491,2,11629
1490892,2,11629
77776,2,11629
1501729,2,11629
1060386,2,11629
1597313,2,11629
1305773,2,11629
67625,2,11629
752642,2,11629
1166928,2,11629
1039828,2,11629
846581,2,11629
101830,2,11629
711404,2,11629
926326,2,11629
933974,2,11629
799729,2,11629
1633142,2,11629
918160,2,11629
1209028,2,11629
811156,2,11629
201533,2,11629
823094,2,11629
39911,2,11629
1073475,2,11629
878004,2,11629
1129542,2,11629
1555280,2,11629
896159,2,11629
1136869,2,11629
736822,2,11629
108312,2,11629
868725,2,11629
1460329,2,11629
944809,2,11629
925741,2,11629
1311538,2,11629
720762,2,11629
1402829,2,11629
1619917,2,11629
805305,2,11629
95052,2,11629
1045539,2,11629
1045540,2,11629
1045541,2,11629
1045542,2,11629
1045543,2,11629
1045544,2,11629
1045545,2,11629
1045546,2,11629
1045547,2,11629
830253,2,11629
1040270,2,11629
101462,2,11629
1171162,2,11629
1257640,2,11629
72162,2,11629
37472,2,11629
895665,2,11629
1326380,2,11629
6845,2,11629
1633651,2,11629
1569134,2,11629
1571833,2,11629
1058623,2,11629
1311241,2,11629
887226,2,11629
783280,2,11629
1003410,2,11629
1584952,2,11629
1555082,2,11629
817366,2,11629
1370754,2,11629
1370755,2,11629
1457737,2,11629
97745,2,11629
739708,2,11629
1400891,2,11629
1469372,2,11629
1168213,2,11629
1320695,2,11629
1594864,2,11629
1374690,2,11629
1012100,2,11629
356309,2,11629
57131,2,11629
1526520,2,11629
1606745,2,11629
816761,2,11629
1365216,2,11629
729580,2,11629
1316944,2,11629
719739,2,11629
1053112,2,11629
784681,2,11629
14272,2,11629
1100270,2,11629
807863,2,11629
1507934,2,11629
1645494,2,11629
1438133,2,11629
1384101,2,11629
3453,2,11629
1476150,2,11629
109198,2,11629
791519,2,11629
1594686,2,11629
1610911,2,11629
1040470,2,11629
1049502,2,11629
720672,2,11629
1283699,2,11629
1381531,2,11629
203527,2,11629
1027884,2,11629
928022,2,11629
1212458,2,11629
1576427,2,11629
1372612,2,11629
1414964,2,11629
1614502,2,11629
1486279,2,11629
731766,2,11629
1620602,2,11629
1578845,2,11629
701288,2,11629
3146,2,11629
1126956,2,11629
57183,2,11629
880285,2,11629
1173911,2,11629
1059262,2,11629
1610682,2,11629
890447,2,11629
1505497,2,11629
744452,2,11629
1430602,2,11629
890319,2,11629
1048477,2,11629
1516479,2,11629
1451512,2,11629
924642,2,11629
933136,2,11629
883980,2,11629
1308085,2,11629
945114,2,11629
1109354,2,11629
1377630,2,11629
1527190,2,11629
858877,2,11629
769397,2,11629
1327811,2,11629
866374,2,11629
1356576,2,11629
1013238,2,11629
1089473,2,11629
1592058,2,11629
1584509,2,11629
82166,2,11629
1430259,2,11629
1609471,2,11629
842314,581,5
856135,581,5
1518832,2,11629
1358831,2,11629
1601712,2,11629
1383871,2,11629
1634912,587,2
1616788,587,2
1593538,2,11629
1020859,2,11629
1287750,2,11629
948708,2,11629
1335982,2,11629
886835,2,11629
315852,2,11629
858470,2,11629
1330849,2,11629
1312910,598,15
1561679,598,15
1534254,598,15
1446806,598,15
1502519,598,15
1377848,598,15
70858,2,11629
1355001,2,11629
1398987,2,11629
1313536,2,11629
1301236,2,11629
4127,2,11629
1034054,2,11629
1037016,2,11629
1476204,2,11629
1581405,2,11629
97216,2,11629
319201,2,11629
1045609,2,11629
1045610,2,11629
1105705,2,11629
1614436,2,11629
1501756,2,11629
1337905,2,11629
1552189,2,11629
1507385,2,11629
1528059,2,11629
99780,2,11629
1547638,2,11629
1383097,2,11629
1076682,2,11629
1334978,2,11629
749251,2,11629
887936,2,11629
1617667,2,11629
1025953,2,11629
1210708,2,11629
908598,2,11629
1093207,2,11629
707388,2,11629
23632,2,11629
1047862,2,11629
891417,2,11629
1423579,2,11629
1279620,2,11629
1514183,2,11629
1368514,2,11629
1326190,2,11629
1571116,2,11629
1571117,2,11629
1041859,2,11629
912463,2,11629
808362,2,11629
354950,2,11629
1017968,2,11629
859737,2,11629
884731,2,11629
1062613,2,11629
1604042,2,11629
910606,2,11629
1066247,2,11629
812796,2,11629
1574774,2,11629
1390777,2,11629
876378,2,11629
350907,2,11629
1388133,2,11629
1377789,2,11629
103682,2,11629
1603291,2,11629
715957,2,11629
1022705,2,11629
945764,2,11629
805729,2,11629
1418133,2,11629
1404296,2,11629
1488813,2,11629
1369868,2,11629
885462,2,11629
819050,2,11629
914475,2,11629
1097149,2,11629
1493566,2,11629
844059,2,11629
914025,2,11629
1622822,2,11629
828916,2,11629
1060391,2,11629
944695,2,11629
1235010,2,11629
1592288,2,11629
1070698,2,11629
1314102,2,11629
1433607,2,11629
1049521,2,11629
16058,2,11629
29905,2,11629
1587523,2,11629
1277902,2,11629
23082,2,11629
882104,2,11629
1430306,2,11629
1460602,2,11629
1452804,2,11629
97476,2,11629
1103982,2,11629
1505512,2,11629
1446847,2,11629
1450720,706,13
1389122,706,13
1261379,706,13
1389123,706,13
1389125,706,13
1389124,706,13
1450722,706,13
1389128,706,13
1416265,2,11629
1542574,2,11629
1251769,2,11629
1383701,2,11629
908937,2,11629
1437107,2,11629
1393020,2,11629
1348911,2,11629
30625,2,11629
1412347,2,11629
106455,2,11629
1086600,2,11629
215466,2,11629
1325814,2,11629
730464,2,11629
1602367,2,11629
1555074,2,11629
1555039,2,11629
768899,2,11629
1328581,2,11629
719955,2,11629
1327471,2,11629
1387061,2,11629
1308711,2,11629
1117297,2,11629
1095651,2,11629
849213,2,11629
1528129,2,11629
1357371,2,11629
1327567,2,11629
1348334,2,11629
1452751,2,11629
350797,2,11629
854560,747,2
944130,747,2
1514991,2,11629
1501720,750,3
1300524,750,3
1099800,2,11629
75252,2,11629
1571498,2,11629
1604464,2,11629
1591890,2,11629
1606163,2,11629
1520262,2,11629
1055726,2,11629
60714,2,11629
812701,2,11629
1032208,2,11629
86521,2,11629
92108,2,11629
1526113,2,11629
1553404,766,3
1531477,766,3
726514,2,11629
927003,2,11629
771497,2,11629
1024657,2,11629
750556,2,11629
1115222,2,11629
74208,2,11629
1018254,2,11629
1274644,2,11629
1130598,2,11629
1006269,2,11629
805326,2,11629
1128928,2,11629
1010612,2,11629
1040719,2,11629
1418135,2,11629
1487197,2,11629
1510247,2,11629
1094084,2,11629
12239,2,11629
356037,2,11629
749038,2,11629
852772,2,11629
1421204,2,11629
1386301,2,11629
949349,793,8
1562918,793,8
4969,793,8
1283434,793,8
1283435,793,8
1650664,2,11629
1439222,2,11629
45012,2,11629
1573166,2,11629
13239,2,11629
1563665,2,11629
1123494,2,11629
1402057,2,11629
1156039,2,11629
1018963,2,11629
100517,2,11629
319687,2,11629
1345122,2,11629
1487428,2,11629
1345126,2,11629
18230,2,11629
12927,2,11629
1164863,2,11629
1136352,2,11629
1304464,2,11629
