cik,component,size
944508,0,5530
819551,0,5530
794619,0,5530
18172,0,5530
86104,0,5530
33619,0,5530
1042431,0,5530
1078271,0,5530
825692,0,5530
813621,0,5530
107681,0,5530
1049316,0,5530
97452,0,5530
1262943,0,5530
40211,0,5530
752714,0,5530
357019,0,5530
935724,0,5530
1162315,0,5530
1055455,0,5530
1022509,0,5530
833829,0,5530
3202,0,5530
81100,0,5530
1085392,0,5530
766421,0,5530
310568,0,5530
1102741,0,5530
1102238,28,5
733590,28,5
1031296,0,5530
65350,0,5530
73960,0,5530
77227,0,5530
53456,0,5530
352049,0,5530
20947,0,5530
77278,0,5530
1038914,0,5530
4457,39,2
4458,39,2
914713,0,5530
1142028,0,5530
14195,0,5530
876437,0,5530
1169638,0,5530
1012967,0,5530
1169640,0,5530
1059341,0,5530
1142257,0,5530
1142258,0,5530
1129633,0,5530
26172,0,5530
1035656,53,5
1089443,53,5
1126956,0,5530
57183,0,5530
1310023,57,2
1301063,57,2
910521,0,5530
96793,0,5530
4611,0,5530
1021061,0,5530
20171,0,5530
1156039,0,5530
884731,0,5530
907654,0,5530
930835,0,5530
916085,0,5530
907410,0,5530
1141363,0,5530
1090425,0,5530
899045,0,5530
922360,0,5530
1012493,0,5530
922358,0,5530
922359,0,5530
1282552,0,5530
879957,0,5530
1267329,0,5530
1289093,0,5530
1282951,0,5530
1304842,0,5530
1307531,0,5530
1256334,0,5530
1304975,0,5530
1285904,0,5530
1282332,0,5530
1282207,0,5530
1228065,0,5530
1306021,0,5530
1215020,0,5530
1292460,0,5530
1285680,0,5530
1296183,0,5530
1290042,0,5530
1309248,0,5530
1278400,0,5530
1296332,0,5530
1292369,0,5530
1260762,0,5530
1241438,0,5530
1306082,0,5530
1300834,0,5530
1295724,0,5530
1223021,0,5530
1273536,0,5530
1271650,0,5530
1261925,0,5530
1268743,0,5530
1257639,0,5530
1271755,0,5530
1229869,0,5530
1257839,0,5530
1266556,0,5530
1057217,0,5530
874015,0,5530
874663,0,5530
1280544,0,5530
1296588,0,5530
1275438,0,5530
1297110,0,5530
1299482,0,5530
911216,0,5530
716054,0,5530
941713,0,5530
921082,0,5530
1069353,0,5530
1224370,0,5530
4127,0,5530
1168696,0,5530
706539,0,5530
48732,0,5530
1042773,0,5530
931948,0,5530
882104,0,5530
891504,0,5530
1079786,0,5530
813298,0,5530
835011,0,5530
831327,0,5530
894267,0,5530
355948,0,5530
1161728,143,3
61339,143,3
25657,145,2
101594,145,2
1065088,0,5530
896878,0,5530
1281931,0,5530
1311372,0,5530
1299349,0,5530
1301927,0,5530
1262016,0,5530
1310274,0,5530
1274823,0,5530
1307595,0,5530
1278547,0,5530
1278040,0,5530
