cik,component,size
55387,0,2
60549,0,2
86104,2,2196
33619,2,2196
844059,2,2196
1049316,2,2196
1108109,2,2196
919943,2,2196
40211,2,2196
752714,2,2196
357019,2,2196
935724,2,2196
946842,2,2196
1162315,2,2196
3202,2,2196
766421,2,2196
916365,2,2196
1041255,2,2196
727510,2,2196
313927,2,2196
83612,2,2196
876437,2,2196
1169638,2,2196
1012967,2,2196
1169640,2,2196
1059341,2,2196
1142257,2,2196
1142258,2,2196
1011585,2,2196
1059142,2,2196
1060383,2,2196
1035656,31,5
1089443,31,5
1126956,33,2
57183,33,2
910521,2,2196
1013218,2,2196
20171,2,2196
1013220,2,2196
726512,2,2196
884731,2,2196
930835,2,2196
1158323,2,2196
827052,2,2196
1061976,2,2196
875525,2,2196
907410,46,4
1141363,46,4
1001865,2,2196
1013559,2,2196
1012493,2,2196
922358,2,2196
1209809,2,2196
879957,2,2196
913951,2,2196
711512,55,2
745061,55,2
1057217,2,2196
874015,2,2196
40865,2,2196
40878,2,2196
882104,2,2196
891504,2,2196
88128,2,2196
277948,2,2196
839947,65,2
839948,65,2
1078425,2,2196
1102287,2,2196
1161728,69,3
61339,69,3
800082,2,2196
1001915,2,2196
1035443,2,2196
751364,2,2196
813828,2,2196
1085734,2,2196
318378,2,2196
1101215,2,2196
1040240,79,2
1073703,79,2
787250,81,2
27430,81,2
813461,2,2196
946343,2,2196
727892,85,2
1093644,85,2
766561,2,2196
61478,2,2196
1068152,89,3
829608,89,3
906347,2,2196
109831,2,2196
1114200,2,2196
1123313,2,2196
1137861,2,2196
922864,2,2196
804138,2,2196
926660,2,2196
857644,99,2
1045548,99,2
1091667,2,2196
1085475,2,2196
1085476,2,2196
1067701,2,2196
1047166,2,2196
70858,2,2196
37637,2,2196
357261,2,2196
903127,2,2196
1012271,2,2196
30419,2,2196
1065310,2,2196
41296,2,2196
879554,2,2196
1032761,2,2196
1043604,2,2196
1013794,2,2196
1111853,2,2196
890465,2,2196
921506,2,2196
1116613,2,2196
1177024,2,2196
1170277,2,2196
1169574,2,2196
1194344,2,2196
1170124,2,2196
1170620,2,2196
773468,2,2196
1176957,2,2196
1178718,2,2196
859360,2,2196
1009626,2,2196
779390,2,2196
1038280,2,2196
23019,2,2196
847466,2,2196
1077241,137,3
1164246,137,3
949256,2,2196
949258,2,2196
949260,2,2196
949262,2,2196
949149,2,2196
1087415,2,2196
1087416,2,2196
1087417,2,2196
1087418,2,2196
1087419,2,2196
1087420,2,2196
1087421,2,2196
1017939,2,2196
1017941,2,2196
949462,2,2196
1017943,2,2196
1017945,2,2196
1017946,2,2196
1017947,2,2196
1087460,2,2196
