cik,component,size
1005210,0,7835
740694,0,7835
352825,0,7835
794619,0,7835
1366649,0,7835
1042431,0,7835
1078271,0,7835
825692,0,7835
813621,0,7835
1290900,0,7835
1260221,0,7835
752714,0,7835
935724,0,7835
6769,0,7835
727538,0,7835
1168054,0,7835
1022509,0,7835
833829,0,7835
1298675,0,7835
97854,0,7835
824410,0,7835
1325460,0,7835
1085392,0,7835
3202,0,7835
81100,0,7835
766421,0,7835
310568,0,7835
1102741,0,7835
16160,28,12
36146,28,12
1102238,0,7835
733590,0,7835
4457,0,7835
4458,0,7835
1278027,0,7835
916365,0,7835
1031296,0,7835
65350,0,7835
73960,0,7835
77227,0,7835
53456,0,7835
352049,0,7835
20947,0,7835
1407703,0,7835
1051034,0,7835
38079,0,7835
864749,0,7835
32198,0,7835
894360,48,2
893958,48,2
100517,0,7835
101001,0,7835
1393612,0,7835
14195,0,7835
892537,0,7835
906163,0,7835
1059341,0,7835
26172,0,7835
355999,0,7835
1310023,59,2
1301063,59,2
910521,0,7835
1063561,0,7835
1331931,0,7835
96793,0,7835
1285785,0,7835
55242,0,7835
20171,0,7835
1156039,0,7835
907654,0,7835
884731,0,7835
716646,0,7835
1347178,0,7835
901219,0,7835
930835,0,7835
916085,0,7835
1355833,0,7835
95521,0,7835
1022705,0,7835
866829,0,7835
1363890,0,7835
1070423,0,7835
1090425,0,7835
899045,0,7835
922360,0,7835
1012493,0,7835
922358,0,7835
922359,0,7835
883241,0,7835
769397,0,7835
1356200,0,7835
1356207,0,7835
1318035,0,7835
1216596,0,7835
1322439,0,7835
911216,0,7835
716054,0,7835
941713,0,7835
921082,0,7835
1303276,0,7835
1345840,0,7835
756502,0,7835
1376567,0,7835
722077,0,7835
1224370,0,7835
4127,0,7835
1175685,0,7835
1050776,0,7835
891178,0,7835
355948,0,7835
1186519,0,7835
1161728,111,3
61339,111,3
1065088,0,7835
896878,0,7835
35214,0,7835
1144519,0,7835
40704,0,7835
789019,0,7835
1332896,0,7835
1035443,0,7835
751364,0,7835
1016281,0,7835
921500,0,7835
822746,0,7835
315131,0,7835
1019695,0,7835
1319916,0,7835
1374535,0,7835
1060009,0,7835
722723,0,7835
795212,0,7835
1124804,0,7835
1110189,0,7835
1158045,0,7835
1158046,0,7835
1158047,0,7835
1158048,0,7835
1158049,0,7835
1158050,0,7835
1158051,0,7835
1158052,0,7835
1158053,0,7835
1158054,0,7835
1158055,0,7835
1158056,0,7835
1158058,0,7835
1158059,0,7835
1158060,0,7835
1158062,0,7835
1158063,0,7835
1158193,0,7835
1158066,0,7835
804212,0,7835
902272,0,7835
1280058,0,7835
772320,0,7835
1054374,0,7835
723125,0,7835
61478,0,7835
1279651,160,20
1346757,160,20
1279657,160,20
1282730,160,20
1278892,160,20
1311437,160,20
1346096,160,20
1286865,160,20
1315571,160,20
1279639,160,20
1279642,160,20
1279643,160,20
1280703,160,20
105770,0,7835
1404296,0,7835
1284077,0,7835
1138639,0,7835
1096199,0,7835
922864,0,7835
804138,0,7835
926660,0,7835
1345968,0,7835
1159297,0,7835
1284807,0,7835
768892,0,7835
924940,0,7835
899166,0,7835
1365295,0,7835
52617,0,7835
1042173,0,7835
1257296,0,7835
1377789,0,7835
1237941,0,7835
1352801,0,7835
351346,0,7835
1368193,0,7835
1341843,0,7835
865549,197,4
1262876,197,4
1093661,197,4
1305631,197,4
1041954,0,7835
316253,0,7835
1045150,0,7835
945841,0,7835
935036,0,7835
1379661,0,7835
1085475,0,7835
1085476,0,7835
1266604,0,7835
1266605,0,7835
1091667,0,7835
1271833,0,7835
1271834,0,7835
903127,0,7835
812900,0,7835
1012271,0,7835
1047884,0,7835
787253,0,7835
92232,0,7835
1066107,0,7835
31986,0,7835
97142,0,7835
1410838,0,7835
200155,0,7835
9389,0,7835
1034670,0,7835
1047290,0,7835
944148,0,7835
95366,0,7835
1039065,0,7835
814055,0,7835
789356,0,7835
1019439,0,7835
864233,0,7835
1115055,0,7835
1109448,0,7835
825313,0,7835
921506,0,7835
729922,0,7835
353184,0,7835
317540,0,7835
811589,0,7835
815097,0,7835
1125259,0,7835
874734,0,7835
1168335,0,7835
928576,0,7835
1098296,0,7835
1371011,0,7835
829323,0,7835
867665,0,7835
1034755,0,7835
750199,0,7835
1065648,0,7835
1127269,0,7835
54441,0,7835
708821,0,7835
846876,258,3
749660,258,3
790414,0,7835
1056087,0,7835
1143513,262,4
1321741,262,4
1234006,262,4
1385280,0,7835
1173463,0,7835
1325946,0,7835
1364099,0,7835
1053221,0,7835
1131517,0,7835
943061,0,7835
1333191,0,7835
880446,0,7835
1002663,0,7835
1331754,0,7835
1262449,0,7835
1262450,0,7835
1314357,0,7835
1314358,0,7835
1314359,0,7835
1314360,0,7835
740670,0,7835
1354217,0,7835
1274057,0,7835
1073431,0,7835
1012569,0,7835
1276187,0,7835
1286613,0,7835
908255,0,7835
1043121,0,7835
1037540,0,7835
820313,0,7835
41133,0,7835
1310243,0,7835
916076,0,7835
812348,0,7835
91741,0,7835
889930,0,7835
1165231,0,7835
1165880,0,7835
946492,0,7835
1317405,302,4
1304366,302,4
1140761,0,7835
1138258,0,7835
1364085,0,7835
1002637,0,7835
1061983,0,7835
100548,0,7835
932628,0,7835
884614,0,7835
1060224,0,7835
944314,0,7835
1223389,0,7835
1016607,0,7835
888953,0,7835
827187,0,7835
1046311,0,7835
1001039,0,7835
12927,0,7835
1119809,321,2
1080908,321,2
1326428,0,7835
1306756,0,7835
1306757,0,7835
1306758,0,7835
1350567,0,7835
1306755,0,7835
1326539,0,7835
1326540,0,7835
1376912,0,7835
77877,0,7835
1224950,0,7835
1224951,0,7835
1224952,0,7835
1270426,0,7835
1270427,0,7835
1270428,0,7835
1270430,0,7835
1396546,0,7835
1085482,0,7835
877422,0,7835
1287808,0,7835
855931,0,7835
729156,345,2
1396838,345,2
8192,0,7835
1135971,0,7835
27879,0,7835
1241199,0,7835
79732,0,7835
1274913,0,7835
1142380,0,7835
1202273,0,7835
865436,0,7835
355777,0,7835
48287,0,7835
1375891,0,7835
1049782,0,7835
1095330,0,7835
1130591,0,7835
828750,0,7835
1094058,0,7835
1067294,0,7835
1042825,0,7835
930095,0,7835
1017673,0,7835
1162556,0,7835
1068796,0,7835
1344413,0,7835
74208,0,7835
1087835,0,7835
1076405,0,7835
1082368,0,7835
846931,0,7835
64040,0,7835
1006045,0,7835
878526,0,7835
106618,0,7835
1393718,0,7835
924901,0,7835
1067063,0,7835
1335793,0,7835
1070412,0,7835
719866,0,7835
737758,0,7835
801337,0,7835
1070985,0,7835
95029,0,7835
1372807,0,7835
909832,0,7835
746515,0,7835
811696,0,7835
820774,0,7835
1033905,0,7835
910638,0,7835
1405528,0,7835
1376227,0,7835
1327068,0,7835
78536,0,7835
1319439,0,7835
23082,0,7835
315189,0,7835
9346,0,7835
1367396,0,7835
1142750,0,7835
90144,0,7835
741508,0,7835
71180,0,7835
1102266,0,7835
1010086,0,7835
1270400,0,7835
1322791,0,7835
849448,0,7835
912183,0,7835
1392522,0,7835
1272547,0,7835
1086774,0,7835
1286681,0,7835
9984,0,7835
938113,421,4
839470,421,4
794170,0,7835
1378020,0,7835
813562,0,7835
1029299,0,7835
1011570,0,7835
