cik,component,size
1130888,0,8879
874691,0,8879
1366649,0,8879
1078271,0,8879
1290729,0,8879
1038074,0,8879
49728,0,8879
923118,0,8879
58361,0,8879
1084869,0,8879
25793,0,8879
1394069,0,8879
1290900,0,8879
1260221,0,8879
1392522,0,8879
1272547,0,8879
929545,0,8879
1290476,0,8879
816761,0,8879
863436,0,8879
752714,0,8879
935724,0,8879
6769,0,8879
727538,0,8879
1168054,0,8879
80424,0,8879
4962,0,8879
1471261,0,8879
1262279,0,8879
1441634,0,8879
1376403,0,8879
1418968,0,8879
1439802,0,8879
1389067,0,8879
1050776,0,8879
732712,0,8879
101778,0,8879
1057083,0,8879
1093885,0,8879
3197,0,8879
1081078,0,8879
1298675,0,8879
97854,0,8879
824410,0,8879
1325460,0,8879
819793,0,8879
911177,0,8879
1091530,0,8879
1116317,0,8879
949961,0,8879
1102238,0,8879
733590,0,8879
1278027,0,8879
916365,0,8879
1031296,0,8879
65350,0,8879
73960,0,8879
77227,0,8879
53456,0,8879
352049,0,8879
20947,0,8879
1407703,0,8879
864749,0,8879
32198,0,8879
1395864,0,8879
1421182,0,8879
101001,0,8879
892537,0,8879
100517,0,8879
1048286,0,8879
202953,0,8879
225775,0,8879
277925,0,8879
1393311,0,8879
96793,0,8879
1331931,0,8879
1285785,0,8879
55242,0,8879
1051828,0,8879
1051827,0,8879
65100,0,8879
1052635,0,8879
20171,0,8879
1156039,0,8879
907654,0,8879
716646,0,8879
1347178,0,8879
901219,0,8879
1034760,88,3
1362718,88,3
1383571,0,8879
1090727,0,8879
1363890,0,8879
1070423,0,8879
1090425,0,8879
899045,0,8879
1085392,0,8879
81100,0,8879
922360,0,8879
1012493,0,8879
922358,0,8879
922359,0,8879
911216,0,8879
716054,0,8879
941713,0,8879
921082,0,8879
1410240,0,8879
1303276,0,8879
1345840,0,8879
1376567,0,8879
722077,0,8879
1069353,0,8879
1224370,0,8879
314741,0,8879
1102750,0,8879
891178,0,8879
107140,0,8879
1067701,0,8879
1047166,0,8879
108772,0,8879
1140859,0,8879
701221,0,8879
1056696,0,8879
887637,0,8879
1161728,124,3
61339,124,3
1065088,0,8879
896878,0,8879
1309141,0,8879
35214,0,8879
1144519,0,8879
1271833,0,8879
1271834,0,8879
1091667,0,8879
40704,0,8879
789019,0,8879
1332896,0,8879
1035443,0,8879
751364,0,8879
908937,0,8879
1433593,0,8879
317788,0,8879
864509,0,8879
1373479,0,8879
1019695,0,8879
109177,0,8879
1083243,0,8879
918112,0,8879
839087,0,8879
876343,0,8879
1060009,0,8879
722723,0,8879
795212,0,8879
1142380,0,8879
1347613,0,8879
1103184,0,8879
1166388,0,8879
1335795,157,6
1421819,157,6
772320,0,8879
1280058,0,8879
1473597,0,8879
1054374,0,8879
723125,0,8879
61478,0,8879
105770,0,8879
922864,0,8879
926660,0,8879
1421461,0,8879
1377789,0,8879
1237941,0,8879
351346,0,8879
29534,0,8879
865549,173,4
1093661,173,4
1305631,173,4
1041954,0,8879
1045150,0,8879
945841,0,8879
935036,0,8879
1379661,0,8879
1126975,0,8879
903127,0,8879
812900,0,8879
1012271,0,8879
1047884,0,8879
787253,0,8879
92232,0,8879
1066107,0,8879
31986,0,8879
97142,0,8879
1410838,0,8879
200155,0,8879
1043604,0,8879
1108524,0,8879
1312073,0,8879
9389,0,8879
1034670,0,8879
1262768,0,8879
1175757,0,8879
1109448,0,8879
825313,0,8879
353184,0,8879
811589,0,8879
815097,0,8879
1125259,0,8879
1318310,0,8879
874734,0,8879
928576,0,8879
1098296,0,8879
1029387,0,8879
1397772,0,8879
1397773,0,8879
1397774,0,8879
1029389,0,8879
1029391,0,8879
1029390,0,8879
1396882,0,8879
1396883,0,8879
1396884,0,8879
1396885,0,8879
1396886,0,8879
1396887,0,8879
1396888,0,8879
1396889,0,8879
1397531,0,8879
1396891,0,8879
1397532,0,8879
1396894,0,8879
1396892,0,8879
1396896,0,8879
1046817,0,8879
1396898,0,8879
1396899,0,8879
1396900,0,8879
1431672,0,8879
1396893,0,8879
1396897,0,8879
1397292,0,8879
1397293,0,8879
1397294,0,8879
1397295,0,8879
1396669,0,8879
1058624,0,8879
1058626,0,8879
1029315,0,8879
1397958,0,8879
1029319,0,8879
1029318,0,8879
1083082,0,8879
1029715,0,8879
1398740,0,8879
1398741,0,8879
1115222,0,8879
1396710,0,8879
1431655,0,8879
1431656,0,8879
1431657,0,8879
1431658,0,8879
1431659,0,8879
1431660,0,8879
1431661,0,8879
1431662,0,8879
1431663,0,8879
1431664,0,8879
1431665,0,8879
1431667,0,8879
1431668,0,8879
1431669,0,8879
1067125,0,8879
1431671,0,8879
1431670,0,8879
1431673,0,8879
1431674,0,8879
1397246,0,8879
1397247,0,8879
867665,0,8879
1034755,0,8879
1479920,0,8879
1443799,0,8879
1110396,280,2
1335950,280,2
54441,0,8879
708821,0,8879
846876,284,3
749660,284,3
1101239,0,8879
1408501,0,8879
1262039,0,8879
1143513,289,4
1321741,289,4
1234006,289,4
1041858,0,8879
756502,0,8879
1136655,0,8879
1050180,0,8879
1405287,0,8879
1385280,0,8879
885975,0,8879
1002531,0,8879
786620,0,8879
1325946,0,8879
1364099,0,8879
1283456,303,19
1283457,303,19
1283332,303,19
1283334,303,19
1283464,303,19
1283337,303,19
1283336,303,19
1283596,303,19
1283598,303,19
1286608,303,19
1283315,303,19
1283316,303,19
1283318,303,19
1282616,303,19
1283449,303,19
1283450,303,19
1283451,303,19
1274365,303,19
943061,0,8879
1333191,0,8879
1352801,0,8879
1395942,0,8879
1419984,325,2
1419985,325,2
41719,0,8879
795551,0,8879
913443,0,8879
1013606,0,8879
66418,331,3
351231,331,3
928953,333,2
1175535,333,2
1354217,0,8879
1274057,0,8879
1073431,0,8879
1396536,0,8879
1403676,0,8879
1012569,0,8879
1276187,0,8879
1286613,0,8879
1043121,0,8879
1037540,0,8879
820313,0,8879
41133,0,8879
1310243,0,8879
916076,0,8879
1301063,0,8879
812348,0,8879
91741,0,8879
889930,0,8879
1165231,0,8879
1400891,0,8879
739708,0,8879
1140761,0,8879
1138258,0,8879
1364085,0,8879
1010775,0,8879
100548,0,8879
932628,0,8879
884614,0,8879
1415332,363,5
1331757,363,5
1060224,0,8879
944314,0,8879
1429592,0,8879
26820,0,8879
888953,0,8879
827187,0,8879
1001039,0,8879
12927,0,8879
1306755,0,8879
1306756,0,8879
1306757,0,8879
1306758,0,8879
1350567,0,8879
1326539,0,8879
1326540,0,8879
1376912,0,8879
77877,0,8879
1326428,0,8879
1224952,0,8879
1270426,0,8879
1270427,0,8879
1270428,0,8879
1407805,0,8879
1270430,0,8879
798955,0,8879
877422,0,8879
1281108,0,8879
1434110,0,8879
1287808,0,8879
855931,0,8879
1371473,0,8879
729156,0,8879
1396838,0,8879
8192,0,8879
1135971,0,8879
27879,0,8879
1241199,0,8879
79732,0,8879
1372041,0,8879
16918,0,8879
1274913,0,8879
789073,0,8879
355777,0,8879
48287,0,8879
1375891,0,8879
1049782,0,8879
897429,0,8879
828750,0,8879
1017673,0,8879
1162556,0,8879
1068796,0,8879
1344413,0,8879
74208,0,8879
1087835,0,8879
1076405,0,8879
1082368,0,8879
846931,0,8879
1018399,0,8879
1006045,0,8879
878526,0,8879
106618,0,8879
709804,0,8879
1376227,0,8879
1405513,0,8879
1396877,0,8879
1396878,0,8879
1439567,0,8879
1405528,0,8879
1327068,0,8879
924901,0,8879
1067063,0,8879
1335793,0,8879
1070412,0,8879
812701,0,8879
719866,0,8879
737758,0,8879
801337,0,8879
1070985,0,8879
95029,0,8879
1372807,0,8879
909832,0,8879
746515,0,8879
744825,0,8879
1326583,0,8879
1033905,0,8879
910638,0,8879
941138,0,8879
100122,0,8879
78536,0,8879
1161924,0,8879
1459450,0,8879
899923,0,8879
9346,0,8879
315189,0,8879
1414937,0,8879
101116,0,8879
1102266,0,8879
1010086,0,8879
1085280,0,8879
1029299,0,8879
929008,0,8879
1320461,0,8879
1270400,0,8879
1322791,0,8879
740694,0,8879
938113,0,8879
839470,0,8879
794170,0,8879
1378020,0,8879
34408,0,8879
60876,0,8879
784199,0,8879
1011570,0,8879
1358651,0,8879
1429775,0,8879
1311835,0,8879
1168468,0,8879
1121793,482,2
1360479,482,2
1085770,0,8879
1066605,0,8879
849399,0,8879
1381510,0,8879
1381511,0,8879
1381512,0,8879
1381513,0,8879
1054090,0,8879
1381515,0,8879
1381516,0,8879
1381517,0,8879
1381518,0,8879
1381519,0,8879
1381520,0,8879
1381521,0,8879
1381522,0,8879
1381524,0,8879
319129,0,8879
1114652,0,8879
55454,0,8879
1093665,0,8879
1093666,0,8879
1075619,0,8879
1075620,0,8879
1075621,0,8879
1075622,0,8879
1075623,0,8879
1075624,0,8879
919465,0,8879
79401,0,8879
919467,0,8879
1075626,0,8879
1075629,0,8879
1397551,0,8879
1397552,0,8879
13239,0,8879
1426496,0,8879
1426498,0,8879
1426499,0,8879
1426501,0,8879
1426502,0,8879
1372792,0,8879
1372793,0,8879
775368,0,8879
1171500,0,8879
26780,0,8879
60751,0,8879
1289460,0,8879
1160479,0,8879
1122101,533,2
1133798,533,2
1126328,0,8879
277135,0,8879
936468,0,8879
808461,0,8879
39911,0,8879
1316656,0,8879
1452384,0,8879
70858,0,8879
714256,543,2
830741,543,2
1043337,0,8879
