cik,component,size
1005210,0,8477
740694,0,8477
352825,0,8477
794619,0,8477
1366649,0,8477
1042431,0,8477
1078271,0,8477
825692,0,8477
813621,0,8477
58361,0,8477
1084869,0,8477
1290900,0,8477
1260221,0,8477
1392522,0,8477
1272547,0,8477
929545,0,8477
1290476,0,8477
816761,0,8477
863436,0,8477
752714,0,8477
935724,0,8477
6769,0,8477
727538,0,8477
1168054,0,8477
1050776,0,8477
1439802,0,8477
732712,0,8477
101778,0,8477
3197,0,8477
1081078,0,8477
1298675,0,8477
97854,0,8477
824410,0,8477
1325460,0,8477
1085392,0,8477
81100,0,8477
766421,0,8477
1091530,0,8477
1116317,0,8477
16160,0,8477
36146,0,8477
1102238,0,8477
733590,0,8477
1031296,0,8477
65350,0,8477
73960,0,8477
77227,0,8477
53456,0,8477
352049,0,8477
20947,0,8477
1407703,0,8477
100517,0,8477
101001,0,8477
1393612,0,8477
14195,0,8477
892537,0,8477
906163,0,8477
1059341,0,8477
1310023,58,2
1301063,58,2
96793,0,8477
1331931,0,8477
1285785,0,8477
55242,0,8477
1051828,0,8477
1051827,0,8477
65100,0,8477
1052635,0,8477
20171,0,8477
1156039,0,8477
907654,0,8477
716646,0,8477
1347178,0,8477
901219,0,8477
1034760,74,3
1362718,74,3
313395,0,8477
866829,0,8477
1363890,0,8477
1070423,0,8477
1090425,0,8477
899045,0,8477
922360,0,8477
1012493,0,8477
922358,0,8477
922359,0,8477
883241,0,8477
769397,0,8477
1356200,0,8477
1356207,0,8477
1318035,0,8477
1216596,0,8477
1322439,0,8477
911216,0,8477
716054,0,8477
941713,0,8477
921082,0,8477
1345840,0,8477
1303276,0,8477
1376567,0,8477
1300744,0,8477
1442634,0,8477
1165921,0,8477
314741,0,8477
1022469,0,8477
1102750,0,8477
891178,0,8477
107140,0,8477
1067701,0,8477
1047166,0,8477
1161728,110,3
61339,110,3
1065088,0,8477
896878,0,8477
35214,0,8477
1144519,0,8477
40704,0,8477
789019,0,8477
1332896,0,8477
1035443,0,8477
751364,0,8477
908937,0,8477
317788,0,8477
1326652,0,8477
864509,0,8477
1373479,0,8477
1019695,0,8477
1319916,0,8477
1374535,0,8477
1060009,0,8477
722723,0,8477
795212,0,8477
1142380,0,8477
1347613,0,8477
902272,0,8477
1280058,0,8477
772320,0,8477
1054374,0,8477
723125,0,8477
61478,0,8477
105770,0,8477
1138639,0,8477
1096199,0,8477
922864,0,8477
926660,0,8477
1421461,0,8477
1159297,0,8477
1284807,0,8477
52617,0,8477
1042173,0,8477
1377789,0,8477
1237941,0,8477
351346,0,8477
29534,0,8477
865549,154,4
1262876,154,4
1093661,154,4
1305631,154,4
1041954,0,8477
1045150,0,8477
945841,0,8477
935036,0,8477
1379661,0,8477
903127,0,8477
812900,0,8477
1012271,0,8477
1047884,0,8477
787253,0,8477
92232,0,8477
1066107,0,8477
31986,0,8477
97142,0,8477
1410838,0,8477
200155,0,8477
1043604,0,8477
1108524,0,8477
1312073,0,8477
9389,0,8477
1034670,0,8477
1047290,0,8477
944148,0,8477
95366,0,8477
864233,0,8477
1115055,0,8477
1109448,0,8477
825313,0,8477
921506,0,8477
729922,0,8477
353184,0,8477
317540,0,8477
811589,0,8477
815097,0,8477
1125259,0,8477
1318310,0,8477
874734,0,8477
1168335,0,8477
1029387,0,8477
1397772,0,8477
1397773,0,8477
1397774,0,8477
1029389,0,8477
1029391,0,8477
1029390,0,8477
1396882,0,8477
1396883,0,8477
1396884,0,8477
1396885,0,8477
1396886,0,8477
1396887,0,8477
1396888,0,8477
1396889,0,8477
1397531,0,8477
1396891,0,8477
1397532,0,8477
1396894,0,8477
1396892,0,8477
1396896,0,8477
1046817,0,8477
1396898,0,8477
1396899,0,8477
1396900,0,8477
1431672,0,8477
1396893,0,8477
1396897,0,8477
1397292,0,8477
1397293,0,8477
