cik,component,size
317187,0,11962
1518339,0,11962
60549,0,11962
922224,0,11962
55387,0,11962
1664740,0,11962
1080340,0,11962
1468910,7,2
888471,7,2
58361,0,11962
1084869,0,11962
73309,0,11962
101829,0,11962
816761,0,11962
889331,0,11962
727920,0,11962
825313,0,11962
1109448,0,11962
80424,0,11962
4962,0,11962
1691299,0,11962
1656936,0,11962
882800,0,11962
1063537,0,11962
913241,0,11962
1569187,0,11962
1603286,0,11962
857737,0,11962
1168213,0,11962
949961,0,11962
1102238,0,11962
867038,0,11962
940944,0,11962
768835,0,11962
916365,0,11962
800240,0,11962
1113169,0,11962
892537,0,11962
1048286,0,11962
1674168,0,11962
906163,0,11962
1362705,0,11962
1528837,0,11962
50104,0,11962
1200375,0,11962
1337619,0,11962
1487371,0,11962
1306830,0,11962
355999,0,11962
917273,0,11962
1294924,0,11962
1559998,51,3
835662,51,3
1597553,0,11962
855654,0,11962
1533840,0,11962
1310914,0,11962
1433833,0,11962
1432985,0,11962
1487561,0,11962
1121745,0,11962
49728,0,11962
870753,0,11962
1104855,0,11962
891024,0,11962
109563,0,11962
1513818,0,11962
1267813,0,11962
1124804,0,11962
1553023,0,11962
1089531,0,11962
1473334,0,11962
1609253,0,11962
1581990,0,11962
1070423,0,11962
1090425,0,11962
899045,0,11962
922360,0,11962
1012493,0,11962
922358,0,11962
922359,0,11962
924901,0,11962
1067063,0,11962
92416,0,11962
1692115,0,11962
1316625,0,11962
1053374,0,11962
941713,0,11962
921082,0,11962
751364,0,11962
1641640,0,11962
1410939,0,11962
1339048,0,11962
1533454,0,11962
1559865,0,11962
1301787,0,11962
1589526,0,11962
107140,0,11962
1067701,0,11962
1047166,0,11962
949039,0,11962
1336047,0,11962
1405041,0,11962
1624826,0,11962
1492633,0,11962
1110783,0,11962
1161728,0,11962
61339,0,11962
896878,0,11962
1620928,0,11962
1624644,0,11962
1588238,0,11962
1512762,0,11962
1668397,0,11962
1140761,0,11962
1138258,0,11962
1126294,0,11962
1667489,0,11962
1552845,0,11962
1019695,0,11962
1453687,0,11962
1677203,0,11962
879101,0,11962
74145,0,11962
1021635,0,11962
1591763,0,11962
1213037,0,11962
1347613,0,11962
1532930,0,11962
1615892,0,11962
1280058,0,11962
1473597,0,11962
1177648,0,11962
792977,0,11962
883237,0,11962
876437,0,11962
49826,0,11962
277135,0,11962
926617,0,11962
1169987,0,11962
1484504,0,11962
1058057,0,11962
723125,0,11962
1169264,0,11962
1517228,0,11962
922864,0,11962
926660,0,11962
1421461,0,11962
726728,0,11962
915140,0,11962
910612,0,11962
1567925,151,2
1482974,151,2
1495932,0,11962
1404804,0,11962
1363958,0,11962
1665658,0,11962
1434620,0,11962
1339970,0,11962
1466301,0,11962
1047884,0,11962
787253,0,11962
1685715,0,11962
1379895,0,11962
1312073,0,11962
1034670,0,11962
9389,0,11962
1660734,0,11962
27673,0,11962
315189,0,11962
1666138,0,11962
1124941,0,11962
1039065,0,11962
1571283,0,11962
1286964,0,11962
1181749,0,11962
105319,0,11962
1452575,0,11962
1609351,0,11962
317540,0,11962
811589,0,11962
815097,0,11962
1125259,0,11962
90144,0,11962
928576,0,11962
1081316,0,11962
75594,0,11962
71180,0,11962
1098296,0,11962
1617227,0,11962
1136893,0,11962
1594617,0,11962
1566445,0,11962
2186,0,11962
1591890,0,11962
946454,0,11962
1442236,0,11962
1609319,0,11962
1170010,0,11962
1267238,0,11962
1101239,0,11962
1280263,0,11962
1262039,0,11962
855931,0,11962
1419806,0,11962
1495240,0,11962
1143513,0,11962
1321741,0,11962
1234006,0,11962
1067294,0,11962
1495231,0,11962
826675,0,11962
873860,0,11962
1491576,0,11962
1029142,0,11962
1031296,0,11962
1518587,0,11962
1519061,0,11962
1407703,0,11962
1597264,0,11962
1293971,0,11962
1485003,0,11962
706688,0,11962
36047,0,11962
1482512,0,11962
1496264,0,11962
81362,0,11962
84748,0,11962
1674760,0,11962
1572694,0,11962
724606,0,11962
1341766,0,11962
97134,0,11962
11199,0,11962
1592016,0,11962
1649173,0,11962
1586105,0,11962
1652130,0,11962
915912,0,11962
1681169,0,11962
1611547,0,11962
1575189,0,11962
891103,0,11962
1311370,0,11962
1326141,0,11962
1688941,0,11962
1678463,0,11962
934612,0,11962
15511,0,11962
1274792,0,11962
109380,0,11962
874501,0,11962
863436,0,11962
728535,0,11962
107833,0,11962
107815,0,11962
1404912,0,11962
1386926,0,11962
1590584,0,11962
1171486,0,11962
1415332,0,11962
1331757,0,11962
1060224,0,11962
944314,0,11962
1376912,0,11962
1407805,0,11962
77877,0,11962
1138118,0,11962
1180079,0,11962
1581776,0,11962
912595,0,11962
1594337,0,11962
352998,0,11962
1419600,0,11962
1592706,0,11962
1487730,0,11962
1325955,0,11962
91142,0,11962
1575879,0,11962
858339,0,11962
1593548,0,11962
1635863,0,11962
1465264,0,11962
1573097,0,11962
29332,0,11962
1115055,0,11962
1336920,0,11962
353394,0,11962
1474464,0,11962
1526113,0,11962
1595527,0,11962
1519751,0,11962
1591698,0,11962
48287,0,11962
897429,0,11962
893691,0,11962
1111335,0,11962
850141,0,11962
1022671,0,11962
1017673,0,11962
1162556,0,11962
927720,0,11962
352915,0,11962
1620702,0,11962
878526,0,11962
1590895,0,11962
1452857,0,11962
106618,0,11962
1560672,0,11962
1411342,0,11962
1114220,0,11962
1517022,0,11962
1638290,0,11962
737758,0,11962
801337,0,11962
1070985,0,11962
1372807,0,11962
1519401,0,11962
1141391,0,11962
872912,0,11962
1178253,0,11962
60667,0,11962
1641991,0,11962
1461219,323,2
1461237,323,2
72971,0,11962
4447,0,11962
744825,0,11962
1326583,0,11962
1033905,0,11962
910638,0,11962
1405513,0,11962
1396877,0,11962
1396878,0,11962
1439567,0,11962
1472494,0,11962
1405528,0,11962
1327068,0,11962
1360604,0,11962
1479750,0,11962
1677703,0,11962
1584423,0,11962
1279363,0,11962
1142750,0,11962
1104506,0,11962
1472343,0,11962
277375,0,11962
713095,0,11962
28385,0,11962
1497188,0,11962
1005414,0,11962
66382,0,11962
936340,0,11962
1286681,0,11962
1613859,0,11962
1615418,0,11962
794170,0,11962
920760,0,11962
1011570,0,11962
1426945,0,11962
1490281,0,11962
906107,0,11962
931182,0,11962
1618673,0,11962
1424755,0,11962
1066605,0,11962
849399,0,11962
1604738,0,11962
1574085,0,11962
1399529,0,11962
1427925,0,11962
1178104,0,11962
1051514,0,11962
1514226,0,11962
1688476,0,11962
1507563,0,11962
1581164,0,11962
759944,0,11962
883241,0,11962
6951,0,11962
795266,0,11962
92380,0,11962
1489096,0,11962
844965,0,11962
1281774,0,11962
1465872,0,11962
1404624,0,11962
1361394,0,11962
1515156,0,11962
1389170,0,11962
1379661,0,11962
1140536,0,11962
1546853,0,11962
815094,0,11962
1506251,0,11962
1166388,0,11962
