cik,component,size
1664740,0,13436
1080340,0,13436
1468910,2,2
888471,2,2
1393584,0,13436
1773751,0,13436
1792580,0,13436
1623925,0,13436
1694028,0,13436
1707178,0,13436
807882,0,13436
816761,0,13436
889331,0,13436
913241,0,13436
1113513,0,13436
949961,0,13436
733590,0,13436
1102238,0,13436
867038,0,13436
1555280,0,13436
1136893,0,13436
1671818,0,13436
1616212,0,13436
940944,0,13436
768835,0,13436
916365,0,13436
1113169,0,13436
892537,0,13436
1674168,0,13436
906553,0,13436
1769624,0,13436
1792789,0,13436
1000298,0,13436
1065837,0,13436
1770121,0,13436
1200375,0,13436
1337619,0,13436
1487371,0,13436
1567683,0,13436
1637757,0,13436
1580808,0,13436
1058811,0,13436
891024,0,13436
109563,0,13436
1046568,0,13436
1550695,0,13436
1124804,0,13436
1553023,0,13436
1401680,0,13436
1800667,0,13436
1090425,0,13436
899045,0,13436
1111928,0,13436
1288469,0,13436
1408710,0,13436
922360,0,13436
1012493,0,13436
922358,0,13436
922359,0,13436
1827980,0,13436
1815495,0,13436
1826333,0,13436
1560327,0,13436
92416,0,13436
1692115,0,13436
1828972,0,13436
1099590,0,13436
1075706,0,13436
7623,0,13436
765880,0,13436
25232,0,13436
1693011,0,13436
1410939,0,13436
1496099,0,13436
1781870,0,13436
1540184,0,13436
883241,0,13436
1811210,0,13436
1774675,0,13436
1559865,0,13436
1646972,0,13436
1589526,0,13436
1691303,0,13436
1636282,0,13436
1273636,0,13436
1090872,0,13436
21510,0,13436
1123360,0,13436
1826058,0,13436
823768,0,13436
1336047,0,13436
949039,0,13436
21175,0,13436
785161,0,13436
35527,0,13436
1819313,0,13436
1826018,0,13436
80424,0,13436
896878,0,13436
1512762,0,13436
1760173,0,13436
790526,0,13436
726601,0,13436
920465,0,13436
1717452,0,13436
1498382,0,13436
315858,0,13436
778946,0,13436
1810140,0,13436
1599407,0,13436
1708493,0,13436
1029142,0,13436
1534133,0,13436
13156,0,13436
1071255,0,13436
74145,0,13436
1021635,0,13436
1591763,0,13436
1009829,0,13436
1753886,0,13436
883237,0,13436
876437,0,13436
49826,0,13436
277135,0,13436
926617,0,13436
1169987,0,13436
1370880,0,13436
1058057,0,13436
723125,0,13436
1708176,0,13436
1380846,0,13436
1109354,0,13436
1384101,0,13436
1812364,0,13436
873303,0,13436
1682852,0,13436
1726445,0,13436
927628,0,13436
1048695,0,13436
1819810,0,13436
928054,0,13436
1013871,0,13436
926660,0,13436
1820877,0,13436
1820878,0,13436
922864,0,13436
1421461,0,13436
726728,0,13436
915140,0,13436
910612,0,13436
933136,0,13436
1651052,0,13436
88948,0,13436
51253,0,13436
1159036,0,13436
1584751,0,13436
1636050,0,13436
1771917,0,13436
1764013,0,13436
1363958,0,13436
1760903,0,13436
10795,0,13436
26076,0,13436
19411,0,13436
893949,0,13436
1829328,0,13436
1393726,0,13436
