cik,component,size
1130888,0,10301
1546417,0,10301
1019737,0,10301
860748,0,10301
1093649,0,10301
1407583,0,10301
1468910,6,2
888471,6,2
1509432,0,10301
1207074,0,10301
58361,0,10301
1084869,0,10301
1390804,0,10301
1394069,0,10301
1290900,0,10301
1260221,0,10301
929545,0,10301
1290476,0,10301
816761,0,10301
889331,0,10301
776008,0,10301
1058623,0,10301
1109448,0,10301
825313,0,10301
80424,0,10301
4962,0,10301
1298675,0,10301
1300485,0,10301
911177,0,10301
825410,0,10301
949961,0,10301
733590,0,10301
1102238,0,10301
867038,0,10301
1278027,0,10301
916365,0,10301
1031296,0,10301
73960,0,10301
53456,0,10301
1407703,0,10301
1514705,0,10301
1555538,0,10301
1395864,0,10301
1421182,0,10301
918386,0,10301
1050550,0,10301
1113169,0,10301
1393612,0,10301
892537,0,10301
1048286,0,10301
855612,0,10301
1528837,0,10301
1054579,0,10301
50957,0,10301
856984,0,10301
1061164,0,10301
1347178,0,10301
855654,0,10301
1285785,0,10301
1518587,0,10301
1454504,60,5
1352081,60,5
20171,0,10301
1156039,0,10301
866829,0,10301
314606,0,10301
1262279,0,10301
1550695,0,10301
1383571,0,10301
1090727,0,10301
1090425,0,10301
899045,0,10301
922360,0,10301
1012493,0,10301
922358,0,10301
922359,0,10301
34115,0,10301
919628,0,10301
1082754,0,10301
1067294,0,10301
42136,80,15
1413263,80,15
1316625,0,10301
1053374,0,10301
941713,0,10301
921082,0,10301
751364,0,10301
1294538,0,10301
722077,0,10301
316793,0,10301
1224370,0,10301
351346,0,10301
1402366,0,10301
314741,0,10301
1022469,0,10301
6769,0,10301
727538,0,10301
1130464,0,10301
12400,0,10301
107140,0,10301
1067701,0,10301
1047166,0,10301
108772,0,10301
1140859,0,10301
912183,0,10301
1161728,0,10301
61339,0,10301
1065088,0,10301
1309141,0,10301
896878,0,10301
40704,0,10301
789019,0,10301
1035443,0,10301
1074909,113,3
1552845,113,3
109177,0,10301
1083243,0,10301
1060009,0,10301
722723,0,10301
795212,0,10301
74145,0,10301
1021635,0,10301
1213037,0,10301
1347613,0,10301
772320,0,10301
1280058,0,10301
1473597,0,10301
49826,0,10301
277135,0,10301
1065049,0,10301
1394954,0,10301
723125,0,10301
1054374,0,10301
94344,0,10301
1013871,0,10301
105770,0,10301
1325879,0,10301
1492658,0,10301
1140028,0,10301
922864,0,10301
926660,0,10301
1421461,0,10301
1517783,0,10301
29534,0,10301
865549,144,4
1305631,144,4
945841,0,10301
935036,0,10301
1333248,0,10301
1466301,0,10301
1375151,0,10301
1109153,0,10301
1494214,0,10301
903127,0,10301
1012271,0,10301
1047884,0,10301
787253,0,10301
890821,0,10301
34285,0,10301
27673,0,10301
315189,0,10301
1312073,0,10301
9389,0,10301
1034670,0,10301
9235,0,10301
1166847,0,10301
1520744,0,10301
1328571,0,10301
1481506,0,10301
1070423,0,10301
1452575,0,10301
105319,0,10301
353184,0,10301
317540,0,10301
811589,0,10301
815097,0,10301
1125259,0,10301
1513153,0,10301
946155,0,10301
928576,0,10301
1098296,0,10301
764811,0,10301
1115222,0,10301
54441,0,10301
708821,0,10301
1101239,0,10301
1304740,0,10301
1262039,0,10301
1038280,0,10301
741815,0,10301
872448,0,10301
1058811,0,10301
1495240,192,5
1143513,192,5
1321741,192,5
1234006,192,5
1529377,0,10301
1405287,0,10301
1385280,0,10301
885975,0,10301
1283332,200,19
1283334,200,19
1283464,200,19
1283337,200,19
1283596,200,19
1283598,200,19
1286608,200,19
1283316,200,19
1283450,200,19
1491576,0,10301
1029142,0,10301
81362,0,10301
84748,0,10301
880446,0,10301
1039399,0,10301
1415277,0,10301
724606,0,10301
1053706,0,10301
1527166,0,10301
1419984,219,2
1419985,219,2
41719,0,10301
795551,0,10301
66418,223,3
351231,223,3
928953,225,3
1490653,225,3
1175535,225,3
1354217,0,10301
1073431,0,10301
874016,0,10301
805305,0,10301
884940,0,10301
1012569,0,10301
1286613,0,10301
1043121,0,10301
1037540,0,10301
1311370,0,10301
1326141,0,10301
1301106,0,10301
1348259,0,10301
1042046,0,10301
1471458,0,10301
935703,0,10301
889930,0,10301
1165231,0,10301
1379895,0,10301
863436,0,10301
728535,0,10301
100548,0,10301
932628,0,10301
884614,0,10301
1302707,0,10301
1026743,0,10301
1415332,0,10301
1331757,0,10301
827187,0,10301
1046311,0,10301
1376912,0,10301
77877,0,10301
1224950,0,10301
1224951,0,10301
1326428,0,10301
1407805,0,10301
1403568,0,10301
798955,0,10301
1287808,0,10301
855931,0,10301
1371473,0,10301
729156,0,10301
1396838,0,10301
8192,0,10301
1135971,0,10301
27879,0,10301
353394,0,10301
79732,0,10301
1336920,0,10301
1519751,0,10301
48287,0,10301
918964,0,10301
1318084,0,10301
880059,0,10301
1049782,0,10301
897429,0,10301
850141,0,10301
1022671,0,10301
1017673,0,10301
1162556,0,10301
1490983,0,10301
1068796,0,10301
1344413,0,10301
7032,0,10301
74208,0,10301
1018254,0,10301
9984,0,10301
820318,0,10301
64040,0,10301
707388,0,10301
1006045,0,10301
878526,0,10301
709804,0,10301
1452857,0,10301
106618,0,10301
27748,0,10301
1376227,0,10301
1405513,0,10301
1396877,0,10301
1396878,0,10301
1472494,0,10301
1405528,0,10301
1327068,0,10301
924901,0,10301
1067063,0,10301
1070412,0,10301
812701,0,10301
801337,0,10301
1070985,0,10301
1372807,0,10301
764044,0,10301
68589,0,10301
751652,0,10301
909832,0,10301
746515,0,10301
823768,0,10301
1048911,0,10301
744825,0,10301
1326583,0,10301
1033905,0,10301
910638,0,10301
1439567,0,10301
941138,0,10301
