cik,component,size
944508,0,6518
819551,0,6518
794619,0,6518
18172,0,6518
86104,0,6518
33619,0,6518
1042431,0,6518
1078271,0,6518
825692,0,6518
813621,0,6518
97452,0,6518
1262943,0,6518
1336047,0,6518
752714,0,6518
935724,0,6518
6769,0,6518
1168054,0,6518
1162315,0,6518
1055455,0,6518
1022509,0,6518
833829,0,6518
3202,0,6518
766421,0,6518
310568,0,6518
1102741,0,6518
1102238,25,5
733590,25,5
4457,27,2
4458,27,2
1031296,0,6518
65350,0,6518
73960,0,6518
77227,0,6518
53456,0,6518
352049,0,6518
20947,0,6518
77278,0,6518
1051034,0,6518
38079,0,6518
14195,0,6518
876437,0,6518
1169638,0,6518
1012967,0,6518
1169640,0,6518
1059341,0,6518
1142257,0,6518
1142258,0,6518
1129633,0,6518
26172,0,6518
1126956,0,6518
57183,0,6518
1310023,51,2
1301063,51,2
910521,0,6518
1063561,0,6518
96793,0,6518
1285785,0,6518
55242,0,6518
20171,0,6518
1156039,0,6518
884731,0,6518
1288379,0,6518
907654,0,6518
1335258,0,6518
1338690,0,6518
930835,0,6518
916085,0,6518
1017008,0,6518
1282858,0,6518
91693,0,6518
1090425,0,6518
899045,0,6518
1214816,0,6518
80661,0,6518
922360,0,6518
1012493,0,6518
922358,0,6518
922359,0,6518
76321,0,6518
703351,0,6518
711512,80,2
745061,80,2
1318035,0,6518
1216596,0,6518
1322439,0,6518
911216,0,6518
716054,0,6518
941713,0,6518
921082,0,6518
1345840,0,6518
1303276,0,6518
722077,0,6518
756502,0,6518
1077552,0,6518
1276676,0,6518
1069353,0,6518
1224370,0,6518
4127,0,6518
1291000,0,6518
1290999,0,6518
917968,0,6518
1287258,0,6518
785312,0,6518
1174469,0,6518
1174470,0,6518
934798,0,6518
1101200,0,6518
1101201,0,6518
1101202,0,6518
1182076,0,6518
813298,0,6518
854460,0,6518
1161728,112,3
61339,112,3
25657,114,2
101594,114,2
1065088,0,6518
896878,0,6518
35214,0,6518
1144519,0,6518
40704,0,6518
789019,0,6518
820027,0,6518
790703,0,6518
1332896,0,6518
1035443,0,6518
751364,0,6518
318378,0,6518
