,average_neighbor_degree,louvain,motifs_node_3_1,motifs_node_3_2,motifs_node_4_1,motifs_node_4_2,motifs_node_4_3,motifs_node_4_4,motifs_node_4_5,motifs_node_4_6,k_core,page_rank,fiedler_vector,closeness_centrality,eccentricity,load_centrality,bfs_moments_1,bfs_moments_2,betweenness_centrality,eigenvector_centrality,clustering_coefficient,square_clustering_coefficient
1010397,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
1011309,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
1012019,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
101382,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
1019361,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
1031093,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
1052054,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
1062515,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
1065910,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
1085706,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
1096019,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
1104206,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.022727273404598236,1.0,0.023255813866853714,1.0,0.0,1.5,0.5,0.0,0.5,0.0,1.0
1115864,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.022727273404598236,-1.0,0.023255813866853714,1.0,0.0,1.5,0.5,0.0,0.5,0.0,1.0
1126530,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.022727273404598236,1.0,0.023255813866853714,1.0,0.0,1.5,0.5,0.0,0.5,0.0,1.0
1126531,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.022727273404598236,-1.0,0.023255813866853714,1.0,0.0,1.5,0.5,0.0,0.5,0.0,1.0
1159281,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
1212545,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
1302244,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
13606,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
1482877,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
201696,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
21828,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
28367,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
42429,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
51011,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
65914,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
70487,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
715096,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
715579,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
761648,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
789877,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
790066,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
791348,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
832483,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
841543,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
845029,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
846909,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
87196,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
872248,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
879884,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
883505,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
888228,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
933425,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
935493,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7383649719704408e-06,0.0,0.0
