,average_neighbor_degree,louvain,motifs_node_3_1,motifs_node_3_2,motifs_node_4_1,motifs_node_4_2,motifs_node_4_3,motifs_node_4_4,motifs_node_4_5,motifs_node_4_6,k_core,page_rank,fiedler_vector,closeness_centrality,eccentricity,load_centrality,bfs_moments_1,bfs_moments_2,betweenness_centrality,eigenvector_centrality,clustering_coefficient,square_clustering_coefficient
1000015,8.0,1017.0,36.0,4.0,109.0,352.0,36.0,0.0,15.0,0.0,4.0,4.133704715059139e-05,-0.0005497612874023616,0.11381208896636963,15.0,4.1133604099741206e-05,6.518637180328369,1.2377805709838867,5662.20556640625,8.1756103623154e-12,0.0,0.02857142873108387
1000045,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.588152998825535e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.249015436570939e-38,0.0,0.0
1000180,18.21875,3991.0,815.0,81.0,7222.0,16481.0,2559.0,61.0,754.0,45.0,8.0,0.0001652684877626598,-0.0005238193552941084,0.1442798227071762,13.0,0.0009314845083281398,5.353260517120361,1.2577383518218994,155109.34375,1.4765995537402432e-08,0.062068965286016464,0.018043436110019684
1000209,9.166666984558105,125.0,71.0,31.0,154.0,748.0,245.0,1.0,59.0,31.0,5.0,7.202951383078471e-05,-0.0005551174399442971,0.11990036815404892,14.0,0.00019332958618178964,6.238412857055664,1.2815210819244385,28906.806640625,2.40110070715005e-10,0.31111112236976624,0.15555556118488312
1000227,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.588152998825535e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.249015436570939e-38,0.0,0.0
1000228,21.894737243652344,3991.0,410.0,48.0,3370.0,8374.0,1910.0,18.0,293.0,43.0,8.0,8.291463745990768e-05,-0.0005504972068592906,0.1403031051158905,14.0,0.0002456812362652272,5.476647853851318,1.278987169265747,40305.34375,7.06994951471529e-09,0.1764705926179886,0.04062652960419655
1000229,9.25,635.0,54.0,12.0,180.0,587.0,117.0,2.0,29.0,4.0,4.0,4.567839278024621e-05,-0.0005553034716285765,0.1138763427734375,16.0,5.593271998804994e-05,6.515523433685303,1.3363837003707886,8855.208984375,1.1668286128974081e-11,0.20000000298023224,0.07886435091495514
1000230,7.4285712242126465,202.0,16.0,16.0,16.0,114.0,74.0,0.0,14.0,14.0,4.0,5.556761971092783e-05,-0.0005582225858233869,0.10922037810087204,15.0,9.867621884041e-07,6.750645160675049,1.2257089614868164,126.99532318115234,5.2325924843055205e-11,0.800000011920929,0.47457626461982727
1000232,8.666666984558105,3991.0,20.0,1.0,173.0,288.0,23.0,0.0,14.0,0.0,1.0,1.9989407519460656e-05,-0.0005512110656127334,0.11694326996803284,14.0,0.0,6.370874404907227,1.237222671508789,0.0,3.5743845383517936e-11,0.0,0.05263157933950424
1000234,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.588152998825535e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.249015436570939e-38,0.0,0.0
1000235,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.588152998825535e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.249015436570939e-38,0.0,0.0
1000278,3.6666667461395264,386.0,5.0,1.0,7.0,24.0,5.0,0.0,3.0,0.0,1.0,2.756952198978979e-05,-0.0005579179269261658,0.09735839068889618,16.0,0.0,7.451294422149658,1.2351630926132202,0.0,2.208085602382892e-13,0.0,0.25
1000297,7.875,256.0,31.0,16.0,53.0,182.0,95.0,0.0,25.0,12.0,4.0,5.817223427584395e-05,-0.0005569502827711403,0.10516776889562607,15.0,3.566299710655585e-05,6.9722442626953125,1.259333610534668,5117.1962890625,4.679448018310439e-13,0.46666666865348816,0.23502303659915924
1000298,7.875,342.0,111.0,44.0,260.0,730.0,263.0,0.0,168.0,46.0,6.0,0.00011357358744135126,-0.0005613691173493862,0.11644181609153748,15.0,0.000517181702889502,6.394003868103027,1.2556767463684082,76642.9609375,7.60813217981493e-11,0.17582418024539948,0.12041884660720825
1000459,5.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,5.588152998825535e-05,0.8306182026863098,0.00022353862004820257,1.0,0.0,1.7999999523162842,0.4000000059604645,0.0,1.451682484960416e-29,1.0,2.0
1000495,5.333333492279053,3991.0,10.0,1.0,39.0,89.0,9.0,0.0,7.0,0.0,1.0,2.199166738137137e-05,-0.0005547089967876673,0.10658393800258636,15.0,0.0,6.892891883850098,1.2175159454345703,0.0,1.2221356739117173e-11,0.0,0.1111111119389534
