,average_neighbor_degree,louvain,motifs_node_3_1,motifs_node_3_2,motifs_node_4_1,motifs_node_4_2,motifs_node_4_3,motifs_node_4_4,motifs_node_4_5,motifs_node_4_6,k_core,page_rank,fiedler_vector,closeness_centrality,eccentricity,load_centrality,bfs_moments_1,bfs_moments_2,betweenness_centrality,eigenvector_centrality,clustering_coefficient,square_clustering_coefficient
1000015,5.333333492279053,221.0,20.0,6.0,17.0,97.0,22.0,0.0,8.0,0.0,2.0,0.00011158062989125028,-0.0002901210100390017,0.09168973565101624,12.0,0.00020175811368972063,7.6053876876831055,1.2765192985534668,7429.08740234375,4.9136781069773067e-14,0.0,0.05263157933950424
1000180,9.416666984558105,1788.0,95.0,25.0,188.0,715.0,266.0,1.0,73.0,13.0,5.0,0.00016538595082238317,-0.0002362720260862261,0.10859373211860657,11.0,0.000425726524554193,6.577175140380859,1.2819472551345825,17403.55859375,8.544212212746594e-12,0.15555556118488312,0.06053268909454346
1000209,5.5,221.0,15.0,8.0,10.0,65.0,31.0,0.0,8.0,2.0,3.0,0.0001029584018397145,-0.0003183333610650152,0.09458541870117188,12.0,7.042649667710066e-05,7.403167247772217,1.2691909074783325,2531.6142578125,1.2852945704272534e-14,0.3333333432674408,0.1764705926179886
1000227,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001102657406590879,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7193932157265505e-42,0.0,0.0
1000228,10.333333015441895,438.0,47.0,6.0,226.0,407.0,97.0,0.0,35.0,1.0,3.0,8.615358092356473e-05,-0.0003229979774914682,0.11257639527320862,11.0,0.00030081934528425336,6.379868984222412,1.1942873001098633,12223.0302734375,1.3481783467383934e-09,0.1666666716337204,0.0476190485060215
1000229,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001102657406590879,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7193932157265505e-42,0.0,0.0
1000230,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001102657406590879,1.0,0.0001102778987842612,1.0,0.0,1.5,0.5,0.0,8.573703122826496e-39,0.0,1.0
1000232,5.333333492279053,1788.0,10.0,1.0,35.0,47.0,12.0,0.0,8.0,0.0,1.0,4.568693839246407e-05,-0.00032910649315454066,0.0990746021270752,13.0,0.0,7.113032341003418,1.1921969652175903,0.0,2.3374727500802273e-11,0.0,0.1111111119389534
1000234,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001102657406590879,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7193932157265505e-42,0.0,0.0
1000235,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001102657406590879,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7193932157265505e-42,0.0,0.0
1000297,4.199999809265137,438.0,7.0,6.0,3.0,24.0,10.0,0.0,4.0,1.0,2.0,0.00010974553151754662,-0.00026105548022314906,0.08659745007753372,13.0,0.0002671383845154196,7.99381160736084,1.269893765449524,10982.0,1.220025599643626e-13,0.3333333432674408,0.2916666567325592
1000298,5.875,229.0,18.0,17.0,19.0,89.0,27.0,0.0,12.0,16.0,4.0,0.00014400278450921178,-0.00024447133182547987,0.09280730783939362,14.0,0.0005837310454808176,7.525846481323242,1.2444145679473877,23451.28125,3.148287023874846e-13,0.4000000059604645,0.3181818127632141
1000495,3.6666667461395264,548.0,5.0,1.0,10.0,33.0,3.0,0.0,2.0,0.0,1.0,5.5421845900127664e-05,-0.00025980468490161,0.09431196749210358,13.0,0.0,7.4217329025268555,1.2101564407348633,0.0,3.9159544747494057e-13,0.0,0.25
1000564,10.909090995788574,229.0,73.0,31.0,221.0,488.0,243.0,1.0,84.0,32.0,5.0,0.000154406952788122,-0.000369162269635126,0.11142284423112869,12.0,0.0003527936933096498,6.435565948486328,1.1908131837844849,15372.8857421875,7.542039215380214e-11,0.4166666567325592,0.1735537201166153
1000623,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001102657406590879,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7193932157265505e-42,0.0,0.0
1000654,10.909090995788574,229.0,73.0,30.0,221.0,488.0,243.0,1.0,84.0,26.0,5.0,0.000154406952788122,-0.000369162269635126,0.11142284423112869,12.0,0.0003527936933096498,6.435565948486328,1.1908131837844849,15372.8857421875,7.542039215380214e-11,0.4166666567325592,0.1735537201166153
1000683,3.25,73.0,1.0,4.0,0.0,6.0,2.0,0.0,0.0,1.0,2.0,8.715210424270481e-05,-0.0003645683464128524,0.07441396266222,14.0,0.0,9.13887882232666,1.205121636390686,0.0,6.92538584598089e-16,1.0,3.0
1000688,5.666666507720947,548.0,13.0,10.0,42.0,95.0,12.0,0.0,7.0,7.0,3.0,0.00011210227239644155,-0.0002405560517217964,0.09657293558120728,12.0,0.00040063459891825914,7.271387100219727,1.2571138143539429,16470.0,3.9426578321566375e-13,0.5,0.30158731341362
1000694,12.44444465637207,548.0,82.0,16.0,499.0,669.0,273.0,0.0,67.0,11.0,5.0,0.00013536018377635628,-0.0002128285268554464,0.11447810381650925,12.0,0.0004683496372308582,6.290498733520508,1.2582718133926392,19252.775390625,9.636285519531995e-11,0.3333333432674408,0.08967851102352142
