,average_neighbor_degree,louvain,motifs_node_3_1,motifs_node_3_2,motifs_node_4_1,motifs_node_4_2,motifs_node_4_3,motifs_node_4_4,motifs_node_4_5,motifs_node_4_6,k_core,page_rank,fiedler_vector,closeness_centrality,eccentricity,load_centrality,bfs_moments_1,bfs_moments_2,betweenness_centrality,eigenvector_centrality,clustering_coefficient,square_clustering_coefficient
1000015,8.333333015441895,116.0,38.0,4.0,123.0,413.0,40.0,0.0,14.0,0.0,4.0,3.69107692677062e-05,-0.0004623300628736615,0.11834518611431122,12.0,2.513563958927989e-05,6.383471965789795,1.1543028354644775,3724.147705078125,1.0261117476539905e-11,0.0,0.027027027681469917
1000045,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.351313666324131e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.065819361120098e-36,0.0,0.0
1000180,20.04878044128418,4514.0,1234.0,132.0,13033.0,26998.0,5155.0,121.0,1451.0,129.0,9.0,0.00018819673277903348,-0.0004480585048440844,0.15096306800842285,11.0,0.0011429785517975688,5.220290660858154,1.1924561262130737,211278.859375,1.5352545901237136e-08,0.07692307978868484,0.022625399753451347
1000209,9.25,4514.0,72.0,31.0,154.0,785.0,252.0,1.0,59.0,31.0,5.0,6.767154263798147e-05,-0.0004978094948455691,0.12293852865695953,13.0,0.0001895494933705777,6.1823296546936035,1.2070856094360352,30725.224609375,2.4044263802203147e-10,0.31111112236976624,0.15342465043067932
1000227,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.351313666324131e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.065819361120098e-36,0.0,0.0
1000228,22.173913955688477,4514.0,550.0,62.0,4823.0,12144.0,2462.0,28.0,428.0,52.0,9.0,9.484129986958578e-05,-0.0004754915426019579,0.14731614291667938,12.0,0.0003543792408891022,5.324767112731934,1.1750723123550415,66261.2265625,1.2477609168115578e-08,0.13333334028720856,0.032615646719932556
1000229,10.375,205.0,63.0,11.0,259.0,765.0,124.0,2.0,37.0,4.0,5.0,4.052920121466741e-05,-0.0004921928630210459,0.11803950369358063,13.0,3.1026687793200836e-05,6.39741325378418,1.2329782247543335,5260.7255859375,2.1330420069132217e-11,0.20000000298023224,0.08196721225976944
1000230,8.0,208.0,20.0,15.0,33.0,133.0,90.0,1.0,14.0,14.0,4.0,5.029069507145323e-05,-0.0005032001645304263,0.11262445151805878,13.0,7.19834702067601e-07,6.656924724578857,1.158024549484253,79.92753601074219,6.050925038803001e-11,0.800000011920929,0.41605839133262634
1000232,10.333333015441895,4514.0,25.0,1.0,280.0,478.0,26.0,0.0,19.0,0.0,1.0,1.8558312149252743e-05,-0.0003889344516210258,0.12177614867687225,13.0,0.0,6.2317962646484375,1.1905200481414795,0.0,4.3497420942895104e-11,0.0,0.0416666679084301
1000234,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.351313666324131e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.065819361120098e-36,0.0,0.0
1000235,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.351313666324131e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.065819361120098e-36,0.0,0.0
1000278,3.6666667461395264,4514.0,5.0,1.0,7.0,24.0,5.0,0.0,3.0,0.0,1.0,2.6296098440070637e-05,-0.0005036822403781116,0.09979142993688583,13.0,0.0,7.384395599365234,1.1368012428283691,0.0,2.603238805076735e-13,0.0,0.25
1000297,8.25,1319.0,34.0,16.0,69.0,238.0,106.0,0.0,25.0,12.0,4.0,5.3653435315936804e-05,-0.0005053512868471444,0.1118275448679924,13.0,4.183196142548695e-05,6.697237014770508,1.1873164176940918,6512.69384765625,2.3246591283887508e-12,0.46666666865348816,0.21702127158641815
1000298,7.941176414489746,264.0,127.0,47.0,327.0,835.0,303.0,0.0,194.0,48.0,6.0,0.0001212806164403446,-0.0005242979386821389,0.11975948512554169,12.0,0.0006841268623247743,6.3198957443237305,1.1867141723632812,114057.96875,7.687392389321701e-11,0.16190476715564728,0.1068759337067604
1000459,5.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,5.351313666324131e-05,0.6280838251113892,0.00021406399901024997,1.0,0.0,1.7999999523162842,0.4000000059604645,0.0,4.1292029489334695e-28,1.0,2.0
1000495,5.333333492279053,4514.0,10.0,1.0,39.0,94.0,10.0,0.0,6.0,0.0,1.0,2.0815879906876944e-05,-0.0004837897140532732,0.10908109694719315,13.0,0.0,6.840682029724121,1.1518887281417847,0.0,1.2240884521286244e-11,0.0,0.1111111119389534
1000564,15.545454978942871,4514.0,121.0,28.0,983.0,1853.0,418.0,1.0,117.0,28.0,6.0,5.321777280187234e-05,-0.0004820277390535921,0.13096322119235992,12.0,4.8971371143125e-05,5.864785194396973,1.1728968620300293,9106.9248046875,4.805743580860167e-10,0.4444444477558136,0.12553741037845612
1000623,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.351313666324131e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.065819361120098e-36,0.0,0.0
1000654,15.545454978942871,4514.0,121.0,27.0,983.0,1853.0,418.0,1.0,117.0,26.0,6.0,5.321777280187234e-05,-0.0004820277390535921,0.13096322119235992,12.0,4.8971371143125e-05,5.864785194396973,1.1728968620300293,9106.9248046875,4.805743580860167e-10,0.4444444477558136,0.12553741037845612
1000683,7.833333492279053,112.0,29.0,7.0,104.0,340.0,33.0,0.0,23.0,2.0,3.0,3.829699198831804e-05,-0.0004819961031898856,0.11256762593984604,13.0,6.015254712110618e-06,6.659780025482178,1.1728417873382568,902.721923828125,4.5523525921131736e-11,0.3333333432674408,0.20353981852531433
1000688,8.833333015441895,1319.0,32.0,10.0,369.0,445.0,47.0,0.0,25.0,7.0,3.0,5.149173375684768e-05,-0.0004991984460502863,0.1155528575181961,12.0,0.00020454941841308028,6.513563632965088,1.2072733640670776,35709.0,1.479673588516972e-12,0.5,0.1366906464099884
1000694,18.714284896850586,1319.0,441.0,43.0,3776.0,8289.0,1301.0,21.0,304.0,25.0,8.0,0.00011427766003180295,-0.00046983471838757396,0.14197568595409393,12.0,0.000711557746399194,5.4874444007873535,1.1546595096588135,124599.7109375,4.153503319059837e-09,0.08771929889917374,0.021856240928173065
1000695,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.351313666324131e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.065819361120098e-36,0.0,0.0
1000697,15.370369911193848,4514.0,523.0,78.0,3956.0,9338.0,1523.0,11.0,566.0,80.0,7.0,0.0001296708214795217,-0.0004740593722090125,0.14385491609573364,12.0,0.0006893028039485216,5.428823471069336,1.1955246925354004,115945.734375,1.2466484511364229e-09,0.10000000149011612,0.030933761969208717
1000736,11.692307472229004,4514.0,143.0,24.0,538.0,2312.0,300.0,18.0,89.0,8.0,6.0,6.958339508855715e-05,-0.000471634091809392,0.13161076605319977,12.0,0.00013959035277366638,5.840849876403809,1.1511825323104858,23257.017578125,2.064224791098468e-09,0.1090909093618393,0.059367772191762924
1000753,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.351313666324131e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.065819361120098e-36,0.0,0.0
1000779,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.351313666324131e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.065819361120098e-36,0.0,0.0
1000787,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.351313666324131e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.065819361120098e-36,0.0,0.0
1000955,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.351313666324131e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.065819361120098e-36,0.0,0.0
1001039,29.481481552124023,4514.0,916.0,65.0,14997.0,24449.0,5378.0,87.0,718.0,34.0,9.0,0.00011028663720935583,-0.0004723733873106539,0.15236999094486237,11.0,0.0005434884224087,5.18132209777832,1.1899302005767822,98097.7109375,1.027438489842325e-08,0.08666666597127914,0.018051734194159508
1001065,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.351313666324131e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.065819361120098e-36,0.0,0.0
1001082,5.833333492279053,4.0,11.0,10.0,30.0,160.0,25.0,0.0,4.0,6.0,3.0,4.976560012437403e-05,-0.0004958146018907428,0.11289093643426895,13.0,6.818313704570755e-05,6.643570899963379,1.1705677509307861,11903.0,8.015094837832137e-11,0.6666666865348816,0.4237288236618042
1001113,10.666666984558105,4514.0,52.0,4.0,233.0,694.0,65.0,0.0,20.0,0.0,4.0,3.14208518830128e-05,-0.00046264167758636177,0.12466181069612503,12.0,2.1713291062042117e-05,6.110691070556641,1.1804554462432861,3309.0517578125,1.06375179498297e-10,0.0,0.019607843831181526
1001115,3.5999999046325684,205.0,4.0,7.0,1.0,22.0,3.0,0.0,4.0,2.0,2.0,5.5689975852146745e-05,-0.0005657423753291368,0.09427522867918015,14.0,0.00013637772644869983,7.757957458496094,1.2107422351837158,23808.0,5.0859463125371707e-14,0.3333333432674408,0.46666666865348816
1001171,11.0,4514.0,27.0,1.0,322.0,503.0,37.0,0.0,19.0,0.0,1.0,1.8368695236858912e-05,-0.00048245093785226345,0.12212313711643219,13.0,0.0,6.216931343078613,1.202327847480774,0.0,2.008290408972435e-11,0.0,0.03846153989434242
1001185,15.285714149475098,4514.0,92.0,6.0,713.0,1871.0,147.0,0.0,48.0,1.0,5.0,3.261373785790056e-05,-0.00046889588702470064,0.13187158107757568,12.0,3.60500234819483e-05,5.831275939941406,1.1892421245574951,5788.54443359375,2.4114907293260046e-10,0.10000000149011612,0.024336284026503563
1001193,8.11111068725586,4514.0,58.0,13.0,132.0,646.0,100.0,1.0,22.0,2.0,4.0,6.158281757961959e-05,-0.00048521949793212116,0.1205492690205574,12.0,0.00017280482279602438,6.2850422859191895,1.1949673891067505,29739.21484375,3.2609342309752876e-11,0.095238097012043,0.04383561760187149
100122,15.214285850524902,4514.0,184.0,34.0,1411.0,3200.0,537.0,6.0,164.0,25.0,7.0,7.299826393136755e-05,-0.00047737223212607205,0.13790301978588104,12.0,0.00014996087702456862,5.61997127532959,1.155113935470581,28320.40625,1.3520077279949305e-09,0.22727273404598236,0.07038123160600662
1001233,11.833333015441895,1319.0,249.0,32.0,1209.0,3682.0,451.0,11.0,155.0,9.0,7.0,0.00010149477020604536,-0.0004635897057596594,0.1334819346666336,12.0,0.0003535726573318243,5.772990703582764,1.1315354108810425,59013.390625,1.3212512195437398e-09,0.05000000074505806,0.020999275147914886
1001250,13.333333015441895,264.0,65.0,5.0,661.0,1228.0,288.0,0.0,47.0,1.0,4.0,2.9580958653241396e-05,-0.000484383141156286,0.12370232492685318,12.0,2.3103986677597277e-05,6.150331974029541,1.2068679332733154,3963.624267578125,8.53943790679601e-11,0.1666666716337204,0.030534351244568825
