,average_neighbor_degree,louvain,motifs_node_3_1,motifs_node_3_2,motifs_node_4_1,motifs_node_4_2,motifs_node_4_3,motifs_node_4_4,motifs_node_4_5,motifs_node_4_6,k_core,page_rank,fiedler_vector,closeness_centrality,eccentricity,load_centrality,bfs_moments_1,bfs_moments_2,betweenness_centrality,eigenvector_centrality,clustering_coefficient,square_clustering_coefficient
1000015,6.5,3724.0,27.0,4.0,41.0,184.0,27.0,0.0,10.0,0.0,3.0,5.9780744777526706e-05,-0.0006055316189303994,0.10337627679109573,10.0,7.295639079529792e-05,6.841431617736816,1.108577847480774,6463.55712890625,6.77556621919706e-12,0.0,0.03846153989434242
1000045,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.157684012781829e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490543926682473e-38,0.0,0.0
1000180,14.363636016845703,3724.0,373.0,54.0,1987.0,5909.0,1070.0,16.0,339.0,32.0,6.0,0.00015874498058110476,-0.0005882882396690547,0.13462486863136292,9.0,0.0010015933075919747,5.485541820526123,1.0870903730392456,101973.4765625,1.1574964986493796e-08,0.08947368711233139,0.02756129950284958
1000209,8.909090995788574,131.0,54.0,29.0,98.0,481.0,189.0,1.0,44.0,31.0,5.0,8.517915557604283e-05,-0.0006013010861352086,0.11329945921897888,10.0,6.731854955432937e-05,6.329817295074463,1.1428600549697876,5641.4072265625,2.365072304666427e-10,0.3888888955116272,0.2036697268486023
1000227,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.157684012781829e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490543926682473e-38,0.0,0.0
1000228,18.461538314819336,3724.0,207.0,27.0,1588.0,3161.0,835.0,10.0,158.0,25.0,7.0,8.7115062342491e-05,-0.0005664019263349473,0.13016442954540253,9.0,0.0003848083724733442,5.639251232147217,1.1086870431900024,39453.01171875,2.8366864412987525e-09,0.2545454502105713,0.06697247922420502
1000229,6.0,435.0,12.0,3.0,23.0,114.0,25.0,0.0,5.0,1.0,2.0,3.247036147513427e-05,-0.0004542495880741626,0.10287328064441681,11.0,0.0,6.869992733001709,1.1493364572525024,0.0,4.875702164057472e-13,1.0,0.3636363744735718
1000230,3.0,5.0,3.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,5.219370359554887e-05,-0.0007589197484776378,0.07179878652095795,14.0,0.0,9.410523414611816,1.1182695627212524,0.0,3.880171242843754e-17,0.0,0.5
1000232,6.333333492279053,3724.0,13.0,1.0,67.0,162.0,18.0,0.0,6.0,0.0,1.0,2.6369065381004475e-05,-0.0005882064579054713,0.10905351489782333,10.0,0.0,6.5373311042785645,1.0677311420440674,0.0,2.6036240871607497e-11,0.0,0.0833333358168602
1000234,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.157684012781829e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490543926682473e-38,0.0,0.0
1000235,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.157684012781829e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490543926682473e-38,0.0,0.0
