,average_neighbor_degree,louvain,motifs_node_3_1,motifs_node_3_2,motifs_node_4_1,motifs_node_4_2,motifs_node_4_3,motifs_node_4_4,motifs_node_4_5,motifs_node_4_6,k_core,page_rank,fiedler_vector,closeness_centrality,eccentricity,load_centrality,bfs_moments_1,bfs_moments_2,betweenness_centrality,eigenvector_centrality,clustering_coefficient,square_clustering_coefficient
1000015,7.5,1210.0,33.0,4.0,79.0,284.0,32.0,0.0,13.0,0.0,4.0,4.624038774636574e-05,-0.0004403088823892176,0.10907592624425888,12.0,4.427041858434677e-05,6.602438926696777,1.2048251628875732,5338.92578125,7.344218115601375e-12,0.0,0.03125
1000045,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.962673822068609e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490221628035678e-38,0.0,0.0
1000180,15.892857551574707,3778.0,601.0,70.0,4413.0,10795.0,1781.0,39.0,597.0,39.0,7.0,0.00016519654309377074,-0.0004381384060252458,0.13711194694042206,12.0,0.0008898598607629538,5.456878185272217,1.2265136241912842,128474.609375,1.1970139546235714e-08,0.06461538374423981,0.020672881975769997
1000209,9.166666984558105,3778.0,71.0,31.0,154.0,725.0,245.0,1.0,59.0,31.0,5.0,7.782901229802519e-05,-0.0004475360328797251,0.11674653738737106,13.0,0.00023667901405133307,6.234341621398926,1.2693425416946411,30543.751953125,2.393313325299573e-10,0.31111112236976624,0.15555556118488312
1000227,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.962673822068609e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490221628035678e-38,0.0,0.0
1000228,21.22222137451172,3778.0,367.0,45.0,2824.0,7076.0,1715.0,18.0,258.0,42.0,8.0,8.588760829297826e-05,-0.00043587604886852205,0.1356803923845291,11.0,0.00028517370810732245,5.503902435302734,1.2346360683441162,41676.76171875,5.629761989922599e-09,0.19166666269302368,0.045515138655900955
1000229,8.800000190734863,3778.0,27.0,5.0,103.0,273.0,64.0,2.0,19.0,2.0,3.0,2.9844261007383466e-05,-0.0004444258811417967,0.10796850919723511,13.0,4.198519576448234e-08,6.659902572631836,1.2697770595550537,5.703305721282959,9.481332385874452e-12,0.6666666865348816,0.22499999403953552
1000230,7.0,155.0,12.0,11.0,15.0,88.0,53.0,0.0,7.0,10.0,4.0,5.433355909190141e-05,-0.0004558032669592649,0.10514478385448456,12.0,0.0,6.8119025230407715,1.1730862855911255,0.0,5.1656533217592226e-11,1.0,0.5882353186607361
1000232,8.333333015441895,3778.0,19.0,1.0,154.0,249.0,23.0,0.0,13.0,0.0,1.0,2.173579741793219e-05,-0.0004402144404593855,0.11296910792589188,12.0,0.0,6.409365653991699,1.2054470777511597,0.0,3.4760607586781234e-11,0.0,0.0555555559694767
1000234,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.962673822068609e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490221628035678e-38,0.0,0.0
1000235,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.962673822068609e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490221628035678e-38,0.0,0.0
1000278,3.6666667461395264,3778.0,5.0,1.0,7.0,24.0,5.0,0.0,3.0,0.0,1.0,2.970317109429743e-05,-0.0004506773839239031,0.09455475211143494,13.0,0.0,7.462829113006592,1.1860300302505493,0.0,2.1726458793950437e-13,0.0,0.25
1000297,7.625,164.0,29.0,16.0,45.0,159.0,87.0,0.0,24.0,12.0,4.0,6.251172453630716e-05,-0.0004537833738140762,0.10125909745693207,13.0,3.5762888728640974e-05,7.034926891326904,1.2489018440246582,4479.82373046875,3.361702192658522e-13,0.46666666865348816,0.2487804889678955
1000298,7.8125,258.0,110.0,44.0,256.0,690.0,261.0,0.0,168.0,46.0,6.0,0.0001222947466885671,-0.00045338593190535903,0.1127413734793663,12.0,0.000538296066224575,6.420292854309082,1.2064614295959473,70190.2578125,7.5203843152849e-11,0.17582418024539948,0.12190812826156616
1000459,5.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,5.962673822068609e-05,0.8034981489181519,0.00023852117010392249,1.0,0.0,1.7999999523162842,0.4000000059604645,0.0,1.451690309050815e-29,1.0,2.0
1000495,5.333333492279053,3778.0,10.0,1.0,39.0,88.0,9.0,0.0,7.0,0.0,1.0,2.3565786250401288e-05,-0.00044700148282572627,0.10380479693412781,13.0,0.0,6.886926651000977,1.1729449033737183,0.0,1.2055591767923257e-11,0.0,0.1111111119389534
1000564,14.636363983154297,3778.0,111.0,28.0,689.0,1463.0,385.0,1.0,110.0,28.0,6.0,6.212345761014149e-05,-0.0004374222189653665,0.12247873842716217,12.0,6.435124669224024e-05,5.989366054534912,1.2160648107528687,9757.4365234375,3.7381889250731604e-10,0.4444444477558136,0.13606710731983185
1000623,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.962673822068609e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490221628035678e-38,0.0,0.0
1000654,14.636363983154297,3778.0,111.0,27.0,689.0,1463.0,385.0,1.0,110.0,26.0,6.0,6.212345761014149e-05,-0.0004374222189653665,0.12247873842716217,12.0,6.435124669224024e-05,5.989366054534912,1.2160648107528687,9757.4365234375,3.7381889250731604e-10,0.4444444477558136,0.13606710731983185
1000683,3.75,258.0,3.0,4.0,2.0,55.0,7.0,0.0,0.0,1.0,2.0,3.9607566577615216e-05,-0.0004431574488990009,0.10090349614620209,13.0,0.0,7.056195259094238,1.1908444166183472,0.0,7.424565302838193e-12,1.0,1.0
1000688,7.333333492279053,1210.0,23.0,10.0,175.0,304.0,26.0,0.0,15.0,7.0,3.0,5.827635322930291e-05,-0.000461651012301445,0.10755877196788788,13.0,0.00021860765991732478,6.681463241577148,1.2356089353561401,30738.0,1.1080896400103568e-12,0.5,0.18446601927280426
1000694,16.823530197143555,1210.0,293.0,33.0,2033.0,4511.0,935.0,16.0,197.0,19.0,7.0,0.00011203224130440503,-0.0004420060431584716,0.1286151260137558,11.0,0.0007522968226112425,5.751317024230957,1.2349822521209717,105732.8203125,1.5266884978437645e-10,0.11428571492433548,0.030452674254775047
1000695,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.962673822068609e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490221628035678e-38,0.0,0.0
1000697,14.041666984558105,3778.0,418.0,62.0,2732.0,6702.0,1041.0,5.0,423.0,48.0,7.0,0.000141213764436543,-0.0004383126215543598,0.1350252330303192,12.0,0.0008261476177722216,5.525755882263184,1.22341787815094,113397.8984375,1.058159893041477e-09,0.08658009022474289,0.026149097830057144
1000736,11.230769157409668,3778.0,137.0,25.0,502.0,1999.0,285.0,18.0,95.0,9.0,6.0,8.075840742094442e-05,-0.0004415843286551535,0.12504112720489502,12.0,0.00016706506721675396,5.88712215423584,1.1721316576004028,22806.880859375,2.0332566741387836e-09,0.1090909093618393,0.06255076825618744
1000753,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.962673822068609e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490221628035678e-38,0.0,0.0
1000779,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.962673822068609e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490221628035678e-38,0.0,0.0
1000787,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.962673822068609e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490221628035678e-38,0.0,0.0
1001039,26.83333396911621,3778.0,722.0,55.0,10609.0,16827.0,4498.0,64.0,556.0,26.0,8.0,0.00011627298226812854,-0.0004373875563032925,0.14299997687339783,11.0,0.0004828401724807918,5.2733659744262695,1.2077000141143799,71803.546875,7.094352660885761e-09,0.09090909361839294,0.01950078085064888
1001065,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.962673822068609e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490221628035678e-38,0.0,0.0
1001082,5.800000190734863,211.0,12.0,6.0,30.0,128.0,26.0,0.0,5.0,2.0,2.0,4.757755596074276e-05,-0.00044659108971245587,0.10662499070167542,13.0,3.6434608773561195e-05,6.731219291687012,1.2183358669281006,5123.0,7.215630870582856e-11,0.6666666865348816,0.32499998807907104
1001113,9.166666984558105,3778.0,43.0,4.0,131.0,482.0,53.0,0.0,17.0,0.0,4.0,3.63695653504692e-05,-0.0004289582429919392,0.1163453608751297,13.0,3.187822221661918e-05,6.252390384674072,1.1942163705825806,3888.115234375,9.876957585142065e-11,0.0,0.02380952425301075
1001115,3.4000000953674316,164.0,3.0,7.0,0.0,9.0,2.0,0.0,4.0,2.0,2.0,6.776858936063945e-05,-0.0004918538616038859,0.08072071522474289,14.0,0.00014575266686733812,8.570439338684082,1.2536636590957642,20494.0,7.870780494235096e-16,0.3333333432674408,0.5833333134651184
1001171,9.666666984558105,3778.0,23.0,1.0,229.0,304.0,28.0,0.0,19.0,0.0,1.0,2.1521189410123043e-05,-0.0004442705539986491,0.11369706690311432,12.0,0.0,6.374731540679932,1.1999046802520752,0.0,1.1541710295825958e-11,0.0,0.04545454680919647
1001185,14.142857551574707,1210.0,84.0,6.0,562.0,1568.0,137.0,0.0,45.0,1.0,5.0,3.673726678243838e-05,-0.00043583771912381053,0.12420553714036942,12.0,3.657251363620162e-05,5.920000076293945,1.2258356809616089,4663.484375,2.186856529196035e-10,0.10000000149011612,0.02669902890920639
1001193,7.666666507720947,3778.0,57.0,12.0,124.0,565.0,73.0,1.0,22.0,1.0,4.0,7.254075171658769e-05,-0.0004443531215656549,0.1139431968331337,12.0,0.00020509661408141255,6.36312198638916,1.2265541553497314,28232.029296875,3.173645721221696e-11,0.0476190485060215,0.03498542308807373
100122,12.538461685180664,3778.0,136.0,30.0,781.0,1930.0,322.0,5.0,124.0,20.0,6.0,8.690948016010225e-05,-0.00043830269714817405,0.12729515135288239,12.0,0.00022524400264956057,5.8005852699279785,1.1692147254943848,34117.375,1.235483715333885e-09,0.2181818187236786,0.082481749355793
1001233,11.11111068725586,1210.0,236.0,35.0,1077.0,3043.0,424.0,11.0,194.0,10.0,6.0,0.00011876279313582927,-0.00044170490582473576,0.12370023876428604,12.0,0.0003903041360899806,5.940097332000732,1.2356975078582764,53026.875,5.123172372445417e-11,0.05000000074505806,0.0223091971129179
1001250,12.399999618530273,64.0,48.0,4.0,461.0,894.0,291.0,0.0,21.0,1.0,3.0,3.0023005820112303e-05,-0.00043889100197702646,0.11447839438915253,12.0,2.5386842025909573e-05,6.338048934936523,1.2435064315795898,3654.893798828125,3.9812247248915966e-11,0.3333333432674408,0.0476190485060215
1001258,2.5,3.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,7.517366611864418e-05,-8.071548762700331e-09,0.00011926058505196124,1.0,7.111967459394464e-09,1.6666666269302368,0.4714045226573944,1.0,3.901834929073727e-34,0.0,1.0
1001279,3.0,3778.0,3.0,1.0,3.0,15.0,2.0,0.0,1.0,0.0,1.0,3.436568658798933e-05,-0.0004586355935316533,0.09025093168020248,14.0,0.0,7.771024227142334,1.2109094858169556,0.0,9.735949161671434e-14,0.0,0.5
1001288,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.962673822068609e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490221628035678e-38,0.0,0.0
1001316,10.222222328186035,1210.0,65.0,15.0,349.0,647.0,229.0,0.0,40.0,8.0,4.0,6.824955198680982e-05,-0.0004386458022054285,0.11517515033483505,12.0,9.298400982515886e-05,6.305756092071533,1.1922415494918823,12424.037109375,1.798820294107717e-11,0.2857142984867096,0.09051723778247833
1001384,3.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.962673822068609e-05,-0.33170172572135925,0.00011926058505196124,1.0,0.0,1.6666666269302368,0.4714045226573944,0.0,6.54847331691957e-33,1.0,6.0
1001385,3.6666667461395264,3778.0,5.0,1.0,7.0,53.0,7.0,0.0,1.0,0.0,1.0,2.631376264616847e-05,-0.0004520052461884916,0.09749078005552292,14.0,0.0,7.268195152282715,1.196080207824707,0.0,9.234910579303257e-12,0.0,0.25
1001426,15.421052932739258,1210.0,170.0,95.0,452.0,1939.0,1072.0,3.0,218.0,267.0,10.0,9.860972204478458e-05,-0.0004444462538231164,0.12507358193397522,12.0,0.0003882735618390143,5.8858537673950195,1.1967618465423584,53343.91796875,5.296199589999162e-10,0.4632352888584137,0.24711111187934875
1001430,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.962673822068609e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490221628035678e-38,0.0,0.0
1001463,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.962673822068609e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490221628035678e-38,0.0,0.0
1001601,4.75,164.0,10.0,2.0,21.0,64.0,4.0,0.0,7.0,0.0,2.0,3.628141348599456e-05,-0.0004468830011319369,0.09898051619529724,13.0,6.633828434132738e-06,7.173853874206543,1.222001314163208,754.3165893554688,9.15076730210497e-14,0.0,0.10000000149011612
1001604,9.875,3778.0,59.0,10.0,209.0,744.0,104.0,0.0,22.0,4.0,5.0,4.8727211833465844e-05,-0.0004395574505906552,0.11839943379163742,12.0,5.917732778470963e-05,6.16126823425293,1.218252420425415,7211.6181640625,1.9104190451812997e-11,0.20000000298023224,0.06590257585048676
1001606,15.307692527770996,38.0,181.0,26.0,1356.0,2618.0,828.0,1.0,138.0,17.0,5.0,7.017453026492149e-05,-0.00044568112934939563,0.13026006519794464,12.0,0.0006758964154869318,5.691317081451416,1.1723366975784302,88664.421875,7.3026447111601556e-09,0.16363635659217834,0.037995595484972
1001614,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.962673822068609e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490221628035678e-38,0.0,0.0
1001627,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.962673822068609e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490221628035678e-38,0.0,0.0
1001718,11.375,3778.0,77.0,8.0,333.0,907.0,114.0,0.0,37.0,1.0,5.0,5.6310498621314764e-05,-0.00044490816071629524,0.11979202181100845,12.0,0.00018942916358355433,6.101268291473389,1.2260936498641968,22541.080078125,6.645768657609352e-11,0.06666667014360428,0.02283105067908764
1001838,5.25,1210.0,12.0,2.0,23.0,136.0,15.0,0.0,1.0,0.0,2.0,3.0702391086379066e-05,-0.0004439603944774717,0.10545989871025085,13.0,5.076637989986921e-06,6.794536590576172,1.244903564453125,599.3904418945312,9.69856898784538e-13,0.0,0.0833333358168602
1001865,5.5,1210.0,10.0,3.0,32.0,91.0,18.0,0.0,6.0,1.0,2.0,3.1604417017661035e-05,-0.0004451606946531683,0.10201607644557953,13.0,0.0,6.990146160125732,1.221195101737976,0.0,3.0737448719099503e-13,1.0,0.30000001192092896
1001868,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.962673822068609e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490221628035678e-38,0.0,0.0
1001871,2.6666667461395264,5.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,4.698109478340484e-05,-0.4193195104598999,0.00011926058505196124,3.0,0.0,2.5999999046325684,1.0198038816452026,0.0,2.360033212319191e-33,0.0,1.0
1001902,13.166666984558105,438.0,116.0,30.0,553.0,1306.0,425.0,1.0,70.0,41.0,6.0,7.890209963079542e-05,-0.0004460909985937178,0.12244043499231339,12.0,0.00022560473007615656,5.990926742553711,1.1613346338272095,29442.708984375,1.5681801412981144e-09,0.3333333432674408,0.1111111119389534
1001907,12.44444465637207,3778.0,85.0,15.0,467.0,1061.0,250.0,0.0,69.0,10.0,5.0,6.077323996578343e-05,-0.0004444464866537601,0.12210150808095932,12.0,0.00014703361375723034,6.004780292510986,1.1992179155349731,20411.380859375,7.186287120930501e-10,0.2857142984867096,0.10051107406616211
1001915,9.714285850524902,3778.0,53.0,6.0,176.0,726.0,84.0,0.0,17.0,1.0,5.0,3.87111576856114e-05,-0.00043814352829940617,0.12004686146974564,12.0,3.0559251172235236e-05,6.0904388427734375,1.1710809469223022,3668.867919921875,7.027111531554553e-11,0.10000000149011612,0.03474903479218483
1001916,9.125,3778.0,47.0,13.0,147.0,482.0,148.0,0.0,24.0,7.0,4.0,5.8894194808090106e-05,-0.0004439152544364333,0.11550647765398026,12.0,9.696020424598828e-05,6.290536403656006,1.2031171321868896,13431.4970703125,1.822801284911968e-11,0.3333333432674408,0.11784511804580688
1001917,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.962673822068609e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490221628035678e-38,0.0,0.0
1002037,6.199999809265137,3778.0,20.0,4.0,53.0,302.0,27.0,1.0,2.0,0.0,2.0,4.149454616708681e-05,-0.00043679395457729697,0.11026062071323395,13.0,8.17676045699045e-05,6.542243957519531,1.259585976600647,11042.0625,4.3296438483053645e-12,0.0,0.06779661029577255
1002047,21.55555534362793,3778.0,708.0,66.0,6200.0,13976.0,5106.0,54.0,549.0,36.0,8.0,0.0001367592194583267,-0.00043679916416294873,0.13914352655410767,11.0,0.000839191663544625,5.3918046951293945,1.2254421710968018,123476.09375,1.3008969013128535e-08,0.07999999821186066,0.01953488402068615
1002114,14.44444465637207,3778.0,91.0,18.0,439.0,1133.0,381.0,0.0,56.0,20.0,6.0,4.9650214350549504e-05,-0.000439480907516554,0.12460333853960037,12.0,3.839896453428082e-05,5.904292583465576,1.1972779035568237,4955.90625,2.5088093824621183e-09,0.4761904776096344,0.11695906519889832
1002125,9.399999618530273,3778.0,30.0,5.0,193.0,436.0,69.0,0.0,21.0,2.0,3.0,3.09860915876925e-05,-0.0004419783072080463,0.11757931113243103,12.0,7.840456419216935e-06,6.197268486022949,1.1794633865356445,1189.5841064453125,2.2710415770177406e-09,0.6666666865348816,0.16304348409175873
1002132,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.962673822068609e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490221628035678e-38,0.0,0.0
1002135,12.571428298950195,3778.0,70.0,7.0,396.0,1115.0,138.0,0.0,37.0,2.0,5.0,3.739158273674548e-05,-0.00043115628068335354,0.12386167794466019,12.0,3.1919018510961905e-05,5.933658599853516,1.1841591596603394,4138.7890625,1.1857742565624108e-09,0.20000000298023224,0.039772726595401764
1002178,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.962673822068609e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490221628035678e-38,0.0,0.0
1002211,20.272727966308594,152.0,206.0,16.0,834.0,2448.0,1813.0,0.0,150.0,6.0,6.0,5.679808964487165e-05,-0.00044194760266691446,0.12554235756397247,12.0,0.0002401241654297337,5.867609977722168,1.2280203104019165,29594.111328125,3.071866094828124e-09,0.1388888955116272,0.03988439217209816
1002225,13.0,3778.0,112.0,14.0,536.0,1796.0,306.0,0.0,53.0,5.0,6.0,5.8089142839889973e-05,-0.0004439280601218343,0.12641650438308716,12.0,0.00015038441051729023,5.833950996398926,1.2257952690124512,20596.53515625,2.1611742795357713e-07,0.1428571492433548,0.033175356686115265
1002235,15.428571701049805,3778.0,84.0,10.0,676.0,1360.0,173.0,0.0,93.0,5.0,4.0,3.508822919684462e-05,-0.0004426702216733247,0.11857201159000397,12.0,1.3064325685263611e-05,6.153756141662598,1.2136492729187012,1903.318359375,3.7139619157855464e-10,0.4000000059604645,0.15789473056793213
1002360,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.962673822068609e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490221628035678e-38,0.0,0.0
1002388,16.321428298950195,1210.0,544.0,93.0,3228.0,8582.0,2413.0,21.0,601.0,116.0,8.0,0.00014692901459056884,-0.00044006769894622266,0.13484209775924683,12.0,0.0006908182404004037,5.531902313232422,1.2266180515289307,97150.1875,8.670039131075669e-10,0.13538461923599243,0.04508693888783455
1002390,4.400000095367432,3.0,11.0,5.0,21.0,50.0,12.0,0.0,8.0,0.0,1.0,6.884244066895917e-05,-0.000465229619294405,0.09456617385149002,13.0,0.0001457597827538848,7.4620490074157715,1.2719002962112427,20495.0,1.9040133442875355e-14,0.0,0.09090909361839294
1002396,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.962673822068609e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490221628035678e-38,0.0,0.0
1002422,4.833333492279053,53.0,5.0,10.0,1.0,9.0,10.0,0.0,6.0,5.0,3.0,6.785701407352462e-05,-0.000556612852960825,0.07410978525876999,15.0,3.643816671683453e-05,9.245756149291992,1.2546086311340332,5123.5,2.2919515449535615e-17,0.6666666865348816,0.7142857313156128
1002439,3.25,4.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,5.845653868163936e-05,0.40824827551841736,0.0001341681636404246,2.0,0.0,2.0,0.7071067690849304,0.0,1.4641455110007437e-32,1.0,3.0
1002517,15.071428298950195,3778.0,200.0,26.0,1123.0,3037.0,497.0,3.0,112.0,14.0,6.0,8.122599683701992e-05,-0.0004398136225063354,0.12878437340259552,12.0,0.00029721096507273614,5.745073318481445,1.2404906749725342,39675.33984375,2.205590293735682e-10,0.13636364042758942,0.03222748637199402
1002519,9.100000381469727,9.0,1.0,38.0,0.0,14.0,8.0,0.0,0.0,85.0,8.0,5.880117168999277e-05,-0.00046409317292273045,0.09215367585420609,12.0,0.0,7.631219387054443,1.2032480239868164,0.0,1.8785005425096465e-14,1.0,1.2857142686843872
1002520,5.800000190734863,113.0,9.0,8.0,31.0,48.0,24.0,0.0,8.0,5.0,3.0,4.5924778532935306e-05,-0.0004540146328508854,0.09682019054889679,14.0,0.0,7.311609745025635,1.222660779953003,0.0,1.6264704969133625e-13,1.0,0.5454545617103577
1002531,5.0,87.0,11.0,2.0,14.0,58.0,17.0,0.0,4.0,0.0,2.0,3.309457315481268e-05,-0.0004606670408975333,0.09614547342061996,14.0,8.758051080803853e-06,7.355902671813965,1.2186224460601807,1026.2310791015625,4.629929794587595e-13,0.0,0.09090909361839294
