,average_neighbor_degree,louvain,motifs_node_3_1,motifs_node_3_2,motifs_node_4_1,motifs_node_4_2,motifs_node_4_3,motifs_node_4_4,motifs_node_4_5,motifs_node_4_6,k_core,page_rank,fiedler_vector,closeness_centrality,eccentricity,load_centrality,bfs_moments_1,bfs_moments_2,betweenness_centrality,eigenvector_centrality,clustering_coefficient,square_clustering_coefficient
1000015,7.0,353.0,30.0,4.0,59.0,219.0,30.0,0.0,12.0,0.0,4.0,5.116739703225903e-05,-0.0005451522301882505,0.10413331538438797,11.0,4.999224984203465e-05,6.738580226898193,1.1367309093475342,5316.8994140625,6.837001884779648e-12,0.0,0.03448275849223137
1000045,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.408613262465224e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490504690325472e-38,0.0,0.0
1000180,16.086956024169922,3999.0,440.0,55.0,2756.0,7647.0,1310.0,27.0,353.0,30.0,7.0,0.00014060332614462823,-0.0005311942077241838,0.13372862339019775,11.0,0.0007117820787243545,5.468582630157471,1.1486313343048096,90128.03125,1.1834663915522015e-08,0.08571428805589676,0.02498864196240902
1000209,9.272727012634277,3999.0,58.0,29.0,126.0,618.0,210.0,1.0,46.0,31.0,5.0,7.336057024076581e-05,-0.000540521985385567,0.11407940089702606,12.0,5.970637357677333e-05,6.2382588386535645,1.2205171585083008,6242.171875,2.383499508873399e-10,0.3888888955116272,0.19104991853237152
1000227,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.408613262465224e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490504690325472e-38,0.0,0.0
1000228,21.0625,3999.0,307.0,40.0,2306.0,5502.0,1429.0,16.0,227.0,40.0,7.0,8.534964581485838e-05,-0.0005111254286020994,0.1322309821844101,11.0,0.0002887562441173941,5.519193649291992,1.166314721107483,36120.0390625,2.925127917663417e-09,0.23076923191547394,0.05515348166227341
1000229,6.5,353.0,14.0,3.0,37.0,162.0,29.0,0.0,6.0,1.0,2.0,2.740270792855881e-05,-0.0004332155513111502,0.10459651052951813,12.0,0.0,6.713167667388916,1.1819158792495728,0.0,8.492655363678825e-12,1.0,0.3076923191547394
1000230,3.75,6.0,3.0,4.0,3.0,1.0,3.0,0.0,3.0,1.0,2.0,5.841878373757936e-05,-0.0007231045165099204,0.07243597507476807,15.0,0.0,9.24973201751709,1.1449416875839233,0.0,2.6811687097834044e-16,1.0,1.0
1000232,7.333333492279053,3999.0,16.0,1.0,105.0,200.0,22.0,0.0,9.0,0.0,1.0,2.3416427211486734e-05,-0.0005330936401151121,0.10941409319639206,12.0,0.0,6.461612701416016,1.1404554843902588,0.0,3.423409125624666e-11,0.0,0.06666667014360428
1000234,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.408613262465224e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490504690325472e-38,0.0,0.0
1000235,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.408613262465224e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2490504690325472e-38,0.0,0.0
1000278,3.6666667461395264,3999.0,5.0,1.0,7.0,24.0,5.0,0.0,3.0,0.0,1.0,3.075244967476465e-05,-0.0005231596878729761,0.09251493215560913,12.0,0.0,7.459253787994385,1.1395270824432373,0.0,1.2231409190609915e-13,0.0,0.25
1000297,7.5,145.0,28.0,16.0,38.0,143.0,82.0,0.0,23.0,12.0,4.0,6.94970294716768e-05,-0.0005558057455345988,0.09774461388587952,13.0,4.0372382500208914e-05,7.11366081237793,1.19552743434906,4338.67724609375,2.395787561393359e-13,0.46666666865348816,0.25628140568733215
1000298,8.214285850524902,259.0,83.0,40.0,144.0,556.0,225.0,0.0,118.0,46.0,6.0,0.00010954485333058983,-0.0005581544246524572,0.10920397937297821,12.0,0.0005033363704569638,6.472120761871338,1.172741174697876,56385.26171875,6.586364786898002e-11,0.24242424964904785,0.155251145362854
