,average_neighbor_degree,louvain,motifs_node_3_1,motifs_node_3_2,motifs_node_4_1,motifs_node_4_2,motifs_node_4_3,motifs_node_4_4,motifs_node_4_5,motifs_node_4_6,k_core,page_rank,fiedler_vector,closeness_centrality,eccentricity,load_centrality,bfs_moments_1,bfs_moments_2,betweenness_centrality,eigenvector_centrality,clustering_coefficient,square_clustering_coefficient
1000015,5.5,417.0,21.0,6.0,19.0,110.0,24.0,0.0,7.0,0.0,2.0,9.498773579252884e-05,-0.000408769614296034,0.10254821181297302,12.0,0.00015031913062557578,7.338580131530762,1.2098588943481445,6621.263671875,1.8029845737059513e-13,0.0,0.05000000074505806
1000180,11.285714149475098,2497.0,144.0,31.0,414.0,1402.0,426.0,3.0,110.0,18.0,5.0,0.0001598589587956667,-0.0003744887944776565,0.12799906730651855,11.0,0.0006325833383016288,6.078240871429443,1.1517118215560913,31628.4296875,5.21062248903803e-10,0.1515151560306549,0.05119453743100166
1000209,5.5714287757873535,120.0,21.0,10.0,18.0,135.0,40.0,0.0,10.0,2.0,3.0,0.0001021177158690989,-0.0004049104463774711,0.10840192437171936,11.0,6.540572212543339e-05,6.996296405792236,1.176539659500122,2707.017822265625,2.1915772690540847e-13,0.20000000298023224,0.12037037312984467
1000227,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010033108992502093,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.716590618797901e-42,0.0,0.0
1000228,11.875,2497.0,78.0,9.0,344.0,740.0,172.0,8.0,53.0,2.0,5.0,9.259521903004497e-05,-0.00041118173976428807,0.12559831142425537,11.0,0.0006547060911543667,6.175308704376221,1.1248353719711304,33627.32421875,1.3565945033988669e-09,0.13333334028720856,0.07061503082513809
1000229,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010033108992502093,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.716590618797901e-42,0.0,0.0
1000230,2.3333332538604736,2497.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,7.727769116172567e-05,-0.0005375264445319772,0.07297662645578384,14.0,0.0,9.907098770141602,1.1832207441329956,0.0,5.2662900375719286e-18,0.0,1.0
1000232,5.333333492279053,2497.0,10.0,1.0,35.0,65.0,14.0,0.0,6.0,0.0,1.0,4.07151565013919e-05,-0.0003321942640468478,0.1099698469042778,11.0,0.0,6.910802364349365,1.1012369394302368,0.0,2.3655967809621536e-11,0.0,0.1111111119389534
1000234,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010033108992502093,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.716590618797901e-42,0.0,0.0
1000235,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010033108992502093,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.716590618797901e-42,0.0,0.0
1000297,4.666666507720947,177.0,10.0,9.0,4.0,32.0,18.0,0.0,8.0,2.0,2.0,0.00010965626279357821,-0.0004277160041965544,0.09632421284914017,12.0,0.0003961913753300905,7.748147964477539,1.2019132375717163,19606.76171875,1.2528087562583418e-13,0.3333333432674408,0.27659574151039124
1000298,8.15384578704834,74.0,67.0,38.0,91.0,353.0,198.0,0.0,96.0,46.0,5.0,0.00016888350364752114,-0.00042913915240205824,0.11277282983064651,11.0,0.0009444956085644662,6.763888835906982,1.1818293333053589,43568.40625,4.2660985855036415e-11,0.290909081697464,0.18934081494808197
1000495,4.333333492279053,417.0,7.0,1.0,19.0,41.0,5.0,0.0,4.0,0.0,1.0,4.3922675104113296e-05,-0.00041635139496065676,0.10611072182655334,12.0,0.0,7.125771522521973,1.1208252906799316,0.0,3.2802183278640706e-12,0.0,0.1666666716337204
1000564,12.181818008422852,307.0,84.0,29.0,350.0,724.0,287.0,1.0,87.0,29.0,5.0,0.0001247406762558967,-0.00032670097425580025,0.12448840588331223,10.0,0.00023820975911803544,6.2214508056640625,1.1241744756698608,12649.04296875,1.6911809452846427e-10,0.4444444477558136,0.17026378214359283
